,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,98.5,594.0,180.0,1708.0,152.0,99.0,94.5,97.5,289.0,92.5,99.0,295.0,0.0
ftm.csv,98.5,495.0,287.5,2865.5,77.5,99.0,197.5,97.5,346.0,392.0,198.0,97.5,88.5
google-web-toolkit.csv,98.5,99.0,460.5,2471.5,937.5,99.0,395.0,97.5,286.5,489.0,92.5,196.5,375.0
gzigzag.csv,98.5,221.5,362.0,1197.5,77.5,292.5,954.5,96.5,543.5,285.0,90.5,295.0,88.5
illumination.csv,71.5,0.0,386.0,0.0,1877.0,0.0,0.0,50.5,280.0,96.5,86.5,0.0,375.0
jcache.csv,98.5,198.0,386.0,780.5,1172.0,99.0,494.0,97.5,192.5,393.0,99.0,93.5,183.0
moast.csv,398.5,594.0,386.0,3276.0,238.5,389.0,287.5,96.5,385.5,386.5,99.0,91.5,280.5
nativeclient.csv,98.5,594.0,386.0,486.5,1361.0,99.0,98.5,97.5,289.0,588.0,99.0,94.5,277.5
ns-3-dev-def-routing.csv,98.5,594.0,273.5,193.0,77.5,99.0,95.5,97.5,289.0,96.5,99.0,196.0,182.0
openfrag.csv,98.5,198.0,358.0,1473.5,77.5,99.0,97.5,97.5,286.5,389.0,99.0,295.0,280.5
qdvdauthor.csv,98.5,594.0,635.5,485.5,1162.0,291.5,591.5,97.5,190.0,194.0,99.0,295.0,183.0
sauerbraten.csv,98.5,594.0,386.0,1169.5,1878.0,98.5,494.0,97.5,386.5,588.0,99.0,295.0,183.0
zoolib.csv,98.5,198.0,635.5,1274.5,73.5,99.0,97.5,97.5,535.5,588.0,90.5,97.5,84.5
