,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.3,0.74,0.38,0.69,0.21,0.32,0.38,0.18,0.44,0.81,0.09,0.59,0.0
ftm.csv,0.64,0.35,0.64,0.68,0.59,0.47,0.66,0.45,0.21,0.22,0.5,0.68,0.63
google-web-toolkit.csv,0.68,0.23,0.58,0.16,0.43,0.68,0.55,0.67,0.33,0.45,0.3,0.61,0.85
gzigzag.csv,0.65,0.0,0.51,0.23,0.28,0.49,0.23,0.1,0.33,0.29,0.12,0.59,0.51
illumination.csv,0.04,0.0,0.52,0.0,0.17,0.0,0.0,0.06,0.78,0.01,0.06,0.0,0.0
jcache.csv,0.47,0.67,0.58,0.62,0.58,0.59,0.57,0.59,0.6,0.41,0.73,0.53,0.89
moast.csv,0.16,0.13,0.43,0.07,0.49,0.41,0.43,0.18,0.43,0.96,0.0,0.12,0.43
nativeclient.csv,0.69,0.67,0.6,0.7,0.63,0.55,0.6,0.58,0.5,0.45,0.7,0.61,0.76
ns-3-dev-def-routing.csv,0.3,0.13,0.55,0.79,0.43,0.55,0.62,0.57,0.32,0.86,0.56,0.66,0.55
openfrag.csv,0.62,0.53,0.61,0.23,0.73,0.66,0.67,0.57,0.21,0.57,0.36,0.38,0.21
qdvdauthor.csv,0.37,0.44,0.47,0.33,0.55,0.45,0.61,0.73,0.28,0.81,0.39,0.63,0.2
sauerbraten.csv,0.79,0.0,0.52,0.33,0.09,0.48,0.05,0.21,0.47,0.36,0.05,0.0,0.21
zoolib.csv,0.64,0.3,0.59,0.72,0.35,0.47,0.53,0.46,0.27,0.45,0.17,0.62,0.46
