,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.04,0.62,0.52,0.29,0.17,0.05,0.35,0.56,0.11,0.41,0.6,0.68,0.44,0.0,0.49,0.22,0.03,0.12
bacula.csv,0.69,0.68,0.61,0.52,0.4,0.65,0.65,0.32,0.53,0.56,0.84,0.49,0.73,0.5,0.53,0.19,0.08,0.18
blue-c.csv,0.68,0.72,0.65,0.49,0.35,0.71,0.83,0.44,0.59,0.59,0.88,0.55,0.71,0.5,0.57,0.23,0.09,0.4
enlightenment.csv,0.63,0.73,0.76,0.56,0.36,0.68,0.71,0.48,0.66,0.56,0.93,0.72,0.75,0.56,0.56,0.23,0.08,0.19
fltk.csv,0.69,0.7,0.69,0.57,0.35,0.64,0.74,0.46,0.56,0.59,0.92,0.63,0.68,0.49,0.56,0.25,0.08,0.29
freewrl.csv,0.81,0.63,0.79,0.38,0.42,0.73,0.81,0.48,0.67,0.59,0.91,0.77,0.76,0.44,0.53,0.25,0.1,0.26
genecys.csv,0.8,0.64,0.72,0.46,0.42,0.61,0.35,0.49,0.65,0.51,0.79,0.3,0.65,0.42,0.55,0.21,0.07,0.26
genoviz.csv,0.32,0.15,0.38,0.06,0.38,0.07,0.06,0.05,0.12,0.18,0.42,0.07,0.38,0.41,0.0,0.24,0.08,0.71
gzigzag.csv,0.4,0.34,0.78,0.42,0.47,0.38,0.52,0.57,0.57,0.42,0.67,0.56,0.68,0.42,0.57,0.29,0.16,0.22
jparsec.csv,0.8,0.73,0.8,0.66,0.39,0.73,0.69,0.51,0.66,0.57,0.67,0.24,0.74,0.44,0.61,0.33,0.13,0.19
lportal.csv,0.55,0.16,0.07,0.06,0.32,0.42,0.0,0.1,0.36,0.23,0.09,0.0,0.64,0.42,0.04,0.14,0.24,0.22
ogrehg.csv,0.69,0.72,0.74,0.6,0.42,0.52,0.69,0.38,0.57,0.62,0.89,0.63,0.76,0.56,0.51,0.28,0.11,0.24
patterntesting.csv,0.79,0.7,0.77,0.69,0.38,0.72,0.71,0.48,0.64,0.58,0.94,0.7,0.71,0.44,0.57,0.18,0.09,0.22
pfaedit.csv,0.1,0.52,0.8,0.68,0.34,0.31,0.74,0.43,0.23,0.53,0.79,0.64,0.5,0.15,0.36,0.15,0.1,0.36
pgui.csv,0.54,0.2,0.11,0.43,0.31,0.13,0.73,0.33,0.25,0.28,0.82,0.7,0.37,0.53,0.3,0.21,0.0,0.12
roller.csv,0.77,0.72,0.76,0.67,0.35,0.74,0.74,0.48,0.64,0.54,0.89,0.67,0.8,0.45,0.38,0.24,0.11,0.2
sylpheed-claws.csv,0.72,0.72,0.76,0.67,0.44,0.71,0.71,0.48,0.68,0.56,0.93,0.48,0.73,0.45,0.49,0.14,0.11,0.19
xbg.csv,0.09,0.15,0.0,0.29,0.15,0.19,0.06,0.04,0.23,0.08,0.46,0.0,0.14,0.14,0.04,0.39,0.01,0.0
