,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.75,0.55,0.62,0.72,0.87,0.93,0.9,0.61,0.93,0.94,0.75,0.41,0.64,0.67,0.48,0.44,0.55,0.92
bacula.csv,0.42,0.48,0.45,0.54,0.49,0.49,0.62,0.63,0.55,0.53,0.42,0.45,0.39,0.48,0.41,0.53,0.41,0.35
blue-c.csv,0.47,0.49,0.44,0.91,0.51,0.49,0.46,0.59,0.49,0.59,0.43,0.39,0.4,0.54,0.41,0.54,0.44,0.6
enlightenment.csv,0.43,0.42,0.3,0.44,0.39,0.49,0.42,0.5,0.4,0.46,0.44,0.31,0.34,0.51,0.4,0.4,0.38,0.33
fltk.csv,0.43,0.54,0.41,0.5,0.45,0.56,0.44,0.58,0.62,0.59,0.44,0.37,0.39,0.48,0.42,0.47,0.42,0.45
freewrl.csv,0.38,0.42,0.31,0.75,0.36,0.46,0.38,0.5,0.42,0.5,0.42,0.37,0.34,0.39,0.41,0.39,0.42,0.33
genecys.csv,0.39,0.45,0.32,0.48,0.41,0.58,0.7,0.52,0.44,0.5,0.56,0.85,0.36,0.4,0.41,0.37,0.47,0.35
genoviz.csv,0.95,0.91,0.93,0.0,0.66,0.92,0.0,0.5,0.86,0.94,0.5,0.0,0.69,0.89,0.0,0.89,0.8,0.78
gzigzag.csv,0.56,0.58,0.31,0.69,0.42,0.63,0.58,0.35,0.38,0.54,0.31,0.35,0.36,0.61,0.37,0.39,0.63,0.3
jparsec.csv,0.38,0.42,0.32,0.37,0.38,0.45,0.43,0.35,0.38,0.47,0.33,0.83,0.36,0.4,0.48,0.62,0.46,0.32
lportal.csv,0.67,0.94,0.5,0.0,0.88,0.8,0.0,0.67,0.97,0.95,0.67,0.0,0.54,0.79,0.5,0.83,0.73,0.75
ogrehg.csv,0.42,0.49,0.38,0.65,0.44,0.62,0.42,0.52,0.45,0.51,0.4,0.33,0.35,0.51,0.44,0.49,0.44,0.3
patterntesting.csv,0.38,0.43,0.31,0.48,0.38,0.46,0.42,0.5,0.44,0.48,0.44,0.34,0.34,0.41,0.39,0.39,0.38,0.32
pfaedit.csv,0.8,0.51,0.37,0.61,0.44,0.83,0.41,0.37,0.94,0.5,0.36,0.34,0.57,0.8,0.56,0.67,0.5,0.43
pgui.csv,0.57,0.94,0.67,0.92,0.54,0.97,0.47,0.51,0.96,0.98,0.47,0.34,0.96,0.6,0.89,0.54,0.0,0.34
roller.csv,0.44,0.43,0.34,0.58,0.38,0.45,0.45,0.5,0.44,0.52,0.47,0.37,0.43,0.44,0.5,0.54,0.41,0.33
sylpheed-claws.csv,0.41,0.41,0.3,0.36,0.33,0.47,0.42,0.5,0.45,0.46,0.44,0.67,0.32,0.41,0.44,0.41,0.38,0.32
xbg.csv,0.92,0.96,0.0,0.81,0.92,0.98,0.0,0.88,0.99,0.95,0.95,0.0,0.9,0.96,0.67,0.61,1.0,0.0
