,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.57,0.26,0.12,0.29,0.2,0.16,0.05,0.3,0.05,0.33,0.76,0.18
echongl.csv,0.43,0.33,0.44,0.54,0.33,0.5,0.82,0.13,0.13,0.32,0.28,0.43
hazelcast.csv,0.69,0.94,0.53,0.64,0.44,0.58,0.45,0.73,0.56,0.62,0.66,0.61
japano.csv,0.51,0.0,0.32,0.45,0.75,0.4,0.32,0.29,0.0,0.39,0.31,0.45
jmol.csv,0.13,0.34,0.43,0.32,0.0,0.68,0.0,0.0,0.52,0.53,0.09,0.13
mobicents.csv,0.71,0.45,0.49,0.67,0.44,0.0,0.28,0.48,0.5,0.62,0.68,0.55
nunit.csv,0.4,0.75,0.12,0.55,0.49,0.57,0.3,0.46,0.5,0.19,0.6,0.64
openefm.csv,0.76,0.49,0.65,0.52,0.29,0.22,0.4,0.38,0.47,0.18,0.43,0.18
snakeyaml.csv,0.5,0.6,0.23,0.59,0.45,0.35,0.52,0.72,0.33,0.37,0.7,0.32
trackit.csv,0.47,0.19,0.59,0.19,0.22,0.33,0.1,0.0,0.46,0.22,0.0,0.35
unicase.csv,0.58,0.56,0.26,0.66,0.33,0.63,0.6,0.29,0.36,0.72,0.51,0.63
wheat.csv,0.54,0.59,0.45,0.58,0.42,0.32,0.28,0.48,0.71,0.29,0.82,0.55
