,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.42,0.93,0.78,0.63,0.92,0.73,0.67,0.53,0.5,0.75,0.47,0.23
echongl.csv,0.32,0.69,0.65,0.53,0.92,0.85,0.93,0.11,0.58,0.72,0.18,0.18
hazelcast.csv,0.42,1.0,0.62,0.56,0.92,0.83,0.73,0.18,0.54,0.77,0.17,0.22
japano.csv,0.31,0.82,0.63,0.47,0.98,0.81,0.65,0.12,0.52,0.62,0.05,0.16
jmol.csv,0.3,0.81,0.6,0.54,0.93,0.89,0.72,0.13,0.62,0.73,0.12,0.21
mobicents.csv,0.44,1.0,0.65,0.69,0.92,0.81,0.69,0.28,0.56,0.83,0.16,0.33
nunit.csv,0.38,0.95,0.5,0.56,0.93,0.84,0.8,0.24,0.55,0.77,0.15,0.41
openefm.csv,0.6,0.85,0.68,0.55,1.0,0.82,0.55,0.23,0.7,0.79,0.6,0.16
snakeyaml.csv,0.29,1.0,0.67,0.67,0.97,0.83,0.81,0.38,0.5,0.83,0.06,0.36
trackit.csv,0.29,0.93,0.72,0.38,1.0,0.75,0.75,0.17,0.5,0.34,0.06,0.2
unicase.csv,0.36,0.89,0.59,0.58,0.92,0.82,0.85,0.14,0.54,0.84,0.16,0.26
wheat.csv,0.31,0.87,0.7,0.54,0.91,0.89,0.7,0.15,0.69,0.81,0.17,0.17
