,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.59,0.75,0.83,0.73,0.85,0.88,0.98,0.7,0.97,0.7,0.17,0.84
echongl.csv,0.82,1.05,0.7,0.71,1.02,0.7,0.22,0.9,0.78,0.95,0.61,0.85
hazelcast.csv,0.61,0.05,0.8,0.73,0.81,0.73,0.7,0.64,0.76,0.62,0.68,0.73
japano.csv,0.79,0.77,0.85,0.79,0.34,0.89,0.96,0.93,0.96,0.9,1.07,0.81
jmol.csv,0.95,1.03,0.81,0.84,1.0,0.49,1.0,0.99,0.6,0.89,0.95,0.87
mobicents.csv,0.52,0.51,0.7,0.46,0.77,1.0,1.01,0.55,0.7,0.52,0.7,0.53
nunit.csv,0.64,0.4,0.92,0.64,0.73,0.68,0.67,0.68,0.69,0.8,0.7,0.43
openefm.csv,0.36,0.82,0.69,0.7,0.68,0.87,0.94,0.66,0.52,0.87,0.63,0.82
snakeyaml.csv,0.81,0.69,0.86,0.67,0.78,0.72,0.79,0.37,0.8,0.83,0.93,0.81
trackit.csv,0.8,0.53,0.57,0.86,0.71,0.83,0.86,0.62,0.88,0.99,0.92,0.72
unicase.csv,0.72,0.56,0.8,0.66,0.93,0.74,0.54,0.96,0.71,0.46,0.81,0.65
wheat.csv,0.74,0.65,0.71,0.68,0.8,0.77,0.96,0.82,0.49,0.83,0.69,0.8
