,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.55,0.25,0.17,0.29,0.18,0.16,0.02,0.3,0.04,0.39,1.0,0.18
echongl.csv,0.73,0.33,0.54,0.67,0.82,0.35,0.85,0.11,0.25,0.95,0.5,0.65
hazelcast.csv,0.88,0.95,0.68,0.89,0.54,0.77,0.52,0.93,0.71,0.71,0.88,0.72
japano.csv,0.67,0.42,0.8,0.53,0.74,0.83,0.65,0.78,0.89,0.43,0.25,0.35
jmol.csv,0.79,0.76,0.59,0.91,0.96,0.7,0.97,1.0,0.54,0.89,0.88,0.85
mobicents.csv,0.73,0.49,0.59,0.67,0.46,0.96,0.86,0.48,0.68,0.58,0.88,0.57
nunit.csv,0.48,0.65,0.1,0.53,0.42,0.7,0.37,0.33,0.57,0.21,0.75,0.65
openefm.csv,0.73,0.84,0.78,0.75,0.32,0.14,0.28,0.37,0.57,0.13,0.38,0.25
snakeyaml.csv,0.24,0.31,0.15,0.36,0.23,0.35,0.22,0.67,0.25,0.18,0.12,0.2
trackit.csv,0.27,0.51,0.63,0.23,0.29,0.39,0.15,0.48,0.71,0.06,0.12,0.45
unicase.csv,0.79,0.75,0.49,0.83,0.73,0.74,0.52,1.0,0.46,0.76,1.0,0.82
wheat.csv,0.42,0.49,0.34,0.46,0.42,0.24,0.86,0.93,0.64,0.18,0.38,0.42
