,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.77,0.06,0.2,0.58,0.34,0.41,0.63,0.1,0.4,0.1,0.48,0.19,0.26,0.33,0.22
biodwh.csv,0.64,0.21,0.22,0.72,0.47,0.42,0.4,0.11,0.36,0.65,0.48,0.0,0.65,0.68,0.56
brlcad.csv,0.75,0.49,0.59,0.12,0.18,0.29,0.48,0.13,0.34,0.0,0.2,0.16,0.19,0.0,0.1
delphilhlplib.csv,0.77,0.52,0.86,0.52,0.5,0.39,0.65,0.16,0.31,0.51,0.56,0.96,0.18,0.64,0.39
exordium.csv,0.7,0.33,0.74,0.46,0.62,0.43,0.42,0.15,0.43,0.53,0.4,0.32,0.24,0.68,0.44
fltk.csv,0.78,0.24,0.64,0.7,0.4,0.36,0.57,0.33,0.33,0.62,0.7,0.95,0.26,0.54,0.63
gzigzag.csv,0.67,0.23,0.34,0.36,0.33,0.47,0.41,0.26,0.43,0.66,0.45,0.17,0.34,0.73,0.37
jcache.csv,0.69,0.45,0.87,0.54,0.41,0.37,0.39,0.81,0.35,0.63,0.68,0.95,0.33,0.86,0.83
mimosa.csv,0.67,0.44,0.87,0.54,0.38,0.37,0.33,0.91,0.34,0.82,0.66,0.96,0.19,0.72,0.61
moast.csv,0.28,0.4,0.37,0.44,0.31,0.38,0.27,0.47,0.18,0.66,0.27,0.98,0.26,0.45,0.49
mptvseries.csv,0.77,0.44,0.04,0.57,0.47,0.35,0.67,0.12,0.2,0.67,0.58,0.05,0.34,0.47,0.51
ogre.csv,0.13,0.29,0.68,0.59,0.24,0.39,0.31,0.97,0.23,0.69,0.66,0.9,0.26,0.46,0.69
qdvdauthor.csv,0.52,0.37,0.6,0.67,0.34,0.32,0.58,0.57,0.18,0.52,0.8,0.89,0.15,0.48,0.57
sauerbraten.csv,0.77,0.35,0.49,0.66,0.43,0.36,0.5,0.89,0.24,0.68,0.73,0.96,0.24,0.55,0.49
zxing.csv,0.74,0.17,0.36,0.64,0.31,0.41,0.56,0.3,0.31,0.6,0.68,0.19,0.31,0.78,0.81
