,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.9,0.04,0.11,0.51,0.26,0.38,0.58,0.05,0.5,0.08,0.35,0.11,0.58,0.24,0.12
biodwh.csv,0.56,0.28,0.13,0.73,0.47,0.38,0.32,0.06,0.25,0.84,0.32,0.0,0.83,0.59,0.39
brlcad.csv,0.95,0.74,0.43,0.07,0.11,0.28,0.32,0.07,0.5,0.0,0.12,0.09,0.25,0.0,0.05
delphilhlplib.csv,0.95,0.62,0.83,0.37,0.89,0.55,0.53,0.09,0.5,0.37,0.45,0.99,0.25,0.5,0.25
exordium.csv,0.74,0.27,0.66,0.32,0.84,0.66,0.37,0.08,0.5,0.42,0.28,0.2,0.33,0.56,0.29
fltk.csv,0.87,0.3,0.55,0.65,0.47,0.69,0.63,0.2,1.0,0.89,0.65,0.99,0.58,0.74,0.52
gzigzag.csv,0.59,0.23,0.21,0.25,0.21,0.62,0.32,0.15,0.81,0.74,0.3,0.1,0.83,0.71,0.23
jcache.csv,0.79,0.98,1.0,0.47,0.84,0.76,0.37,0.69,0.75,0.66,0.7,0.97,0.58,0.91,0.86
mimosa.csv,0.77,0.98,0.98,0.42,0.79,0.9,0.42,0.84,1.0,0.87,0.7,0.99,0.33,0.68,0.55
moast.csv,0.18,1.0,0.26,0.36,0.37,0.86,0.26,0.31,0.25,1.0,0.18,0.97,1.0,0.56,0.38
mptvseries.csv,0.82,0.76,0.02,0.44,0.47,0.31,0.68,0.07,0.19,0.68,0.45,0.03,0.42,0.32,0.34
ogre.csv,0.08,0.37,0.64,0.58,0.47,0.9,0.42,0.94,0.5,0.66,0.65,0.91,0.58,0.62,0.66
qdvdauthor.csv,0.41,0.82,0.53,0.81,0.68,0.41,0.79,0.4,0.38,0.58,0.75,0.8,0.25,0.68,0.43
sauerbraten.csv,0.77,0.79,0.4,0.8,0.84,0.69,0.79,0.81,0.69,0.79,0.8,0.97,0.75,0.79,0.39
zxing.csv,0.74,0.14,0.26,0.63,0.26,0.55,0.63,0.18,0.5,0.79,0.57,0.11,0.83,0.88,0.71
