,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.96,0.63,0.0,0.54,0.56,0.05,0.47,0.43,0.27,0.53,0.42,0.06,0.45,0.1
jicarilla.csv,0.0,0.1,0.88,0.0,0.14,0.13,0.0,0.12,0.17,0.05,0.0,0.06,0.06,0.12
jmule.csv,0.68,0.7,0.04,0.69,0.66,0.5,0.54,0.58,0.3,0.79,0.64,0.3,0.71,0.83
micomt.csv,0.45,0.57,0.57,0.54,0.58,0.51,0.44,0.52,0.79,0.6,0.55,0.42,0.7,0.42
migen.csv,0.54,0.18,0.18,0.42,0.67,0.58,0.07,0.28,0.49,0.56,0.36,0.2,0.45,0.1
mvnforum.csv,0.0,0.44,0.28,0.14,0.36,0.13,0.53,0.35,0.56,0.6,0.36,0.17,0.29,0.0
ng4j.csv,0.86,0.62,0.0,0.75,0.58,0.53,0.57,0.64,0.83,0.61,0.58,0.33,0.84,0.66
open-data-kit.csv,0.92,0.67,0.26,0.59,0.59,0.56,0.55,0.52,0.36,0.74,0.71,0.45,0.7,0.67
opennms.csv,0.54,0.57,0.04,0.54,0.36,0.66,0.0,0.12,0.16,0.36,0.0,0.21,0.38,0.7
ossim.csv,0.53,0.53,0.34,0.79,0.42,0.59,0.2,0.27,0.17,0.36,0.24,0.11,0.33,0.13
plplot.csv,0.65,0.57,0.0,0.67,0.62,0.46,0.61,0.7,0.42,0.5,0.51,0.29,0.62,0.1
qedo.csv,0.0,0.04,0.57,0.14,0.35,0.29,0.07,0.22,0.17,0.06,0.0,0.81,0.0,0.41
tradelink.csv,0.49,0.4,0.07,0.07,0.52,0.21,0.68,0.56,0.66,0.52,0.73,0.45,0.49,0.0
wgs-assembler.csv,0.89,0.61,0.04,0.69,0.63,0.36,0.37,0.43,0.63,0.72,0.51,0.11,0.69,0.47
