,heekscad.csv,xcsoar.csv,ikvm.csv,jcae.csv,xuggle.csv,gbif-providertoolkit.csv,qcad2.csv,levent.csv,jaxen.csv,nicepress.csv,customwars.csv,archive-crawler.csv,quarkplusplus.csv,all-plasm.csv,sigil.csv,pnotepad.csv,qedo.csv,gss.csv
all-plasm.csv,0.71,0.49,0.36,0.12,0.17,0.24,0.49,0.66,0.06,0.32,0.19,0.27,0.47,1.0,0.71,0.8,0.07,0.49
archive-crawler.csv,0.88,0.93,0.46,0.08,0.28,0.25,0.43,0.86,0.04,0.56,0.08,1.0,0.5,0.75,0.92,0.82,0.08,0.67
customwars.csv,0.64,0.65,0.6,0.12,0.32,0.17,0.64,0.5,0.09,0.45,1.0,0.0,0.44,0.57,0.85,0.85,0.07,0.57
gbif-providertoolkit.csv,0.93,0.89,0.0,0.33,0.41,1.0,0.62,0.8,0.07,0.55,0.23,0.5,0.71,0.67,0.95,0.89,0.02,0.25
gss.csv,0.79,0.57,0.48,0.12,0.12,0.19,0.42,0.75,0.07,0.44,0.19,0.34,0.45,0.33,0.75,0.86,0.09,1.0
heekscad.csv,0.99,0.58,0.47,0.13,0.2,0.34,0.46,0.74,0.06,0.48,0.18,0.25,0.58,0.33,0.78,0.91,0.04,0.7
ikvm.csv,0.5,0.59,0.95,0.14,0.21,0.25,0.15,0.76,0.18,0.2,0.15,0.38,0.29,0.46,0.2,0.92,0.04,0.67
jaxen.csv,1.0,1.0,1.0,0.25,0.17,0.2,0.0,0.75,1.0,0.0,0.14,0.36,0.0,1.0,0.0,0.0,0.03,1.0
jcae.csv,1.0,0.0,0.0,0.9,0.33,0.2,0.0,0.0,0.0,1.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0
levent.csv,0.81,0.58,0.44,0.13,0.18,0.35,0.45,0.98,0.1,0.27,0.27,0.34,0.53,0.47,0.67,1.0,0.11,0.85
nicepress.csv,0.58,0.62,0.67,0.19,0.2,0.23,0.54,0.7,0.08,1.0,0.12,0.32,0.62,0.38,0.64,0.91,0.08,0.85
pnotepad.csv,0.7,0.55,0.4,0.12,0.18,0.18,0.4,0.75,0.07,0.43,0.16,0.34,0.49,0.38,0.68,1.0,0.09,0.68
qcad2.csv,0.62,0.66,0.5,0.11,0.13,0.21,0.98,0.59,0.1,0.38,0.11,0.29,0.38,0.5,0.64,0.9,0.02,0.52
qedo.csv,0.0,0.3,0.0,0.0,0.06,0.17,0.0,0.0,0.0,0.18,0.0,0.17,0.35,0.0,0.32,0.5,1.0,0.0
quarkplusplus.csv,0.85,0.66,0.37,0.16,0.2,0.22,0.53,0.5,0.07,0.48,0.29,0.35,1.0,0.82,0.83,0.89,0.08,0.68
sigil.csv,0.77,0.48,0.36,0.15,0.21,0.2,0.47,0.74,0.11,0.45,0.17,0.42,0.59,0.41,1.0,0.87,0.03,0.69
xcsoar.csv,0.84,1.0,0.48,0.12,0.21,0.24,0.44,0.87,0.11,0.44,0.2,0.28,0.5,0.4,0.8,1.0,0.04,0.67
xuggle.csv,0.75,0.61,0.28,0.09,0.98,0.09,0.8,0.62,0.05,0.36,0.15,0.33,0.43,0.5,0.84,0.74,0.11,0.59
