,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.75,0.49,0.25,0.27,0.27,0.37,0.41,0.2,0.24,0.22,0.12,0.62,0.0
ftm.csv,0.52,0.31,0.42,0.2,0.63,0.48,0.52,0.53,0.25,0.17,0.53,0.64,0.7
google-web-toolkit.csv,0.77,0.12,0.4,0.1,0.4,0.69,0.48,0.69,0.08,0.27,0.49,0.62,0.76
gzigzag.csv,0.73,0.03,0.44,0.07,0.22,0.47,0.39,0.45,0.1,0.13,0.15,0.62,0.76
illumination.csv,0.05,0.0,0.41,0.0,0.57,0.0,0.0,0.18,0.69,0.03,0.19,0.03,0.62
jcache.csv,0.55,0.46,0.38,0.17,0.68,0.66,0.57,0.69,0.36,0.63,0.73,0.33,0.88
moast.csv,0.22,0.4,0.36,0.04,0.53,0.46,0.39,0.2,0.27,0.98,0.74,0.15,0.29
nativeclient.csv,0.72,0.44,0.37,0.22,0.68,0.65,0.58,0.66,0.32,0.94,0.73,0.61,0.75
ns-3-dev-def-routing.csv,0.79,0.4,0.35,0.28,0.65,0.56,0.58,0.64,0.15,0.94,0.55,0.66,0.6
openfrag.csv,0.76,0.39,0.35,0.2,0.76,0.68,0.59,0.6,0.35,0.86,0.52,0.63,0.61
qdvdauthor.csv,0.45,0.35,0.3,0.05,0.6,0.43,0.55,0.78,0.24,0.75,0.71,0.64,0.49
sauerbraten.csv,0.84,0.39,0.41,0.15,0.71,0.69,0.55,0.82,0.35,0.95,0.74,0.65,0.6
zoolib.csv,0.77,0.33,0.39,0.34,0.47,0.53,0.55,0.49,0.13,0.95,0.29,0.61,0.58
