,sauerbraten.csv,brlcad.csv,gzigzag.csv,zoolib.csv,openfrag.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,qdvdauthor.csv,illumination.csv,moast.csv,nativeclient.csv,ftm.csv,jcache.csv
brlcad.csv,0.33,0.63,0.78,0.89,0.93,0.83,0.65,0.9,0.53,0.83,0.89,0.41,0.0
ftm.csv,0.63,0.47,0.47,0.81,0.66,0.54,0.53,0.53,0.8,0.75,0.65,0.45,0.48
google-web-toolkit.csv,0.35,0.7,0.46,0.84,0.55,0.46,0.42,0.37,0.88,0.55,0.53,0.38,0.4
gzigzag.csv,0.38,0.97,0.56,0.96,0.88,0.59,0.7,0.54,0.75,0.69,0.94,0.39,0.44
illumination.csv,0.0,0.0,0.45,0.0,0.51,0.0,0.0,0.75,0.78,0.89,0.96,0.0,0.53
jcache.csv,0.46,0.45,0.4,0.52,0.49,0.39,0.43,0.39,0.39,0.47,0.5,0.69,0.41
moast.csv,0.86,0.45,0.39,0.98,0.82,0.59,0.81,0.89,0.66,0.44,0.49,0.95,0.79
nativeclient.csv,0.37,0.44,0.41,0.53,0.45,0.39,0.45,0.36,0.41,0.39,0.54,0.52,0.41
ns-3-dev-def-routing.csv,0.33,0.46,0.54,0.93,0.6,0.58,0.55,0.52,0.75,0.47,0.74,0.45,0.57
openfrag.csv,0.31,0.42,0.45,0.72,0.52,0.47,0.44,0.44,0.55,0.46,0.6,0.43,0.56
qdvdauthor.csv,0.86,0.49,0.73,0.77,0.48,0.7,0.49,0.44,0.72,0.69,0.54,0.47,0.62
sauerbraten.csv,0.4,0.44,0.47,0.51,0.43,0.46,0.4,0.39,0.38,0.39,0.49,0.42,0.56
zoolib.csv,0.33,0.99,0.46,0.99,0.79,0.61,0.58,0.48,0.62,0.39,0.97,0.55,0.62
