,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.64,0.09,0.13,0.48,0.37,0.52,0.66,0.08,0.59,0.35,0.44,0.25,0.58,0.3,0.17
biodwh.csv,0.56,0.28,0.16,0.67,0.42,0.39,0.3,0.06,0.23,0.68,0.29,0.0,0.88,0.63,0.54
brlcad.csv,0.3,0.72,0.59,0.1,0.19,0.32,0.37,0.08,0.52,0.0,0.18,0.79,0.37,0.0,0.09
delphilhlplib.csv,0.3,0.68,0.84,0.46,0.73,0.57,0.57,0.12,0.59,0.65,0.51,0.8,0.45,0.63,0.44
exordium.csv,0.49,0.43,0.48,0.55,0.73,0.6,0.66,0.0,0.58,0.53,0.59,0.23,0.67,0.73,0.44
fltk.csv,0.69,0.31,0.5,0.68,0.72,0.58,0.55,0.16,0.27,0.34,0.6,0.57,0.58,0.42,0.57
gzigzag.csv,0.69,0.21,0.3,0.28,0.37,0.55,0.3,0.0,0.58,0.74,0.35,0.32,0.37,0.66,0.24
jcache.csv,0.39,0.54,0.38,0.54,0.49,0.53,0.45,0.0,0.69,0.68,0.48,0.79,0.59,0.9,0.62
mimosa.csv,0.17,0.3,0.66,0.52,0.42,0.49,0.49,0.0,0.27,0.81,0.35,0.82,0.5,0.67,0.37
moast.csv,0.21,0.0,0.28,0.47,0.41,0.36,0.29,0.35,0.28,0.21,0.21,0.96,0.0,0.47,0.43
mptvseries.csv,0.69,0.7,0.0,0.33,0.47,0.25,0.69,0.1,0.0,0.53,0.42,0.0,0.2,0.15,0.29
ogre.csv,0.1,0.39,0.51,0.56,0.37,0.44,0.34,0.95,0.45,0.69,0.54,0.0,0.56,0.3,0.35
qdvdauthor.csv,0.43,0.29,0.3,0.44,0.58,0.42,0.72,0.0,0.36,0.61,0.73,0.76,0.2,0.65,0.47
sauerbraten.csv,0.77,0.05,0.48,0.05,0.27,0.57,0.0,0.0,0.05,0.7,0.0,0.77,0.34,0.2,0.43
zxing.csv,0.69,0.17,0.24,0.64,0.36,0.61,0.46,0.19,0.65,0.5,0.63,0.17,0.74,0.81,0.76
