,openefm.csv,hazelcast.csv,trackit.csv,mobicents.csv,japano.csv,jmol.csv,echongl.csv,snakeyaml.csv,wheat.csv,unicase.csv,bionote.csv,nunit.csv
bionote.csv,0.61,0.33,0.2,0.44,0.25,0.28,0.08,0.37,0.07,0.56,1.0,0.28
echongl.csv,0.67,0.45,0.37,0.66,0.79,0.41,0.88,0.26,0.29,0.97,0.62,0.68
hazelcast.csv,0.82,0.93,0.66,0.87,0.5,0.76,0.43,0.89,0.68,0.67,0.88,0.72
japano.csv,0.67,0.45,0.8,0.54,0.73,0.75,0.61,0.78,0.93,0.46,0.5,0.38
jmol.csv,0.85,0.73,0.41,0.87,0.9,0.75,0.87,0.93,0.36,0.87,1.0,0.8
mobicents.csv,0.67,0.42,0.51,0.69,0.49,0.92,0.77,0.44,0.71,0.55,0.88,0.45
nunit.csv,0.42,0.6,0.07,0.44,0.42,0.53,0.36,0.22,0.43,0.2,0.75,0.62
openefm.csv,0.76,0.89,0.8,0.71,0.3,0.33,0.12,0.41,0.5,0.2,0.38,0.22
snakeyaml.csv,0.36,0.49,0.17,0.52,0.31,0.33,0.35,0.67,0.32,0.27,0.38,0.3
trackit.csv,0.24,0.18,0.68,0.16,0.19,0.33,0.04,0.11,0.64,0.08,0.0,0.2
unicase.csv,0.79,0.76,0.63,0.84,0.69,0.79,0.72,0.93,0.64,0.77,0.88,0.75
wheat.csv,0.52,0.56,0.34,0.55,0.44,0.27,0.8,0.78,0.68,0.24,0.5,0.5
