,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.76,0.16,0.6,0.73,0.56,0.22,1.0,1.0,1.0,0.17,0.67,0.33,0.09,0.75,1.0
biodwh.csv,0.81,0.29,0.71,0.86,0.4,0.35,0.43,1.0,0.5,0.91,0.79,0.83,1.0,0.93,0.88
brlcad.csv,0.6,0.88,0.82,0.51,0.33,0.24,0.42,0.99,0.12,0.3,0.73,0.96,0.04,0.11,0.67
delphilhlplib.csv,0.62,0.0,0.98,0.58,0.24,0.23,0.38,0.98,0.28,0.58,0.67,0.24,0.2,0.73,0.79
exordium.csv,0.6,0.24,0.81,0.66,1.0,0.26,0.55,1.0,0.29,0.66,0.62,0.54,0.2,0.81,0.88
fltk.csv,0.72,0.29,0.82,0.95,0.56,0.36,0.85,1.0,0.33,0.42,0.75,0.97,0.28,0.81,0.91
gzigzag.csv,0.85,0.38,0.83,0.81,0.38,1.0,0.5,1.0,0.14,0.67,0.67,0.67,0.08,1.0,0.9
jcache.csv,0.57,0.25,0.74,0.61,0.27,0.29,0.35,0.98,0.2,0.71,0.71,0.93,0.25,1.0,0.76
mimosa.csv,0.71,0.14,0.76,0.74,0.4,0.32,0.55,1.0,0.17,1.0,0.74,0.96,0.24,0.86,0.86
moast.csv,0.67,0.44,0.0,0.44,0.5,0.47,0.0,1.0,0.0,0.67,1.0,1.0,0.5,0.8,1.0
mptvseries.csv,0.72,0.23,0.88,0.74,0.44,0.33,1.0,0.98,0.25,0.66,0.79,0.94,0.32,0.83,0.83
ogre.csv,0.63,0.25,0.75,0.57,0.28,0.24,0.41,1.0,0.19,0.48,0.67,0.89,0.14,0.45,0.74
qdvdauthor.csv,0.56,0.25,0.75,0.57,0.27,0.35,0.5,0.97,0.21,0.79,1.0,0.99,0.08,0.68,0.83
sauerbraten.csv,0.97,0.29,0.55,0.71,0.38,0.42,0.5,0.98,0.24,0.81,0.79,1.0,0.17,0.89,0.6
zxing.csv,0.71,0.25,0.76,0.61,0.29,0.31,0.45,0.96,0.21,0.44,0.83,0.76,0.2,0.74,1.0
