,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.33,0.13,0.11,0.09,0.07,0.15,0.0,0.0,0.0,0.12,0.16,0.41,0.14,0.02,0.0
biodwh.csv,0.25,0.4,0.39,0.06,0.11,0.16,0.13,0.0,0.04,0.02,0.16,0.03,0.0,0.02,0.06
brlcad.csv,0.33,0.03,0.44,0.33,0.18,0.65,0.58,0.5,0.65,0.17,0.53,0.31,0.65,0.61,0.41
delphilhlplib.csv,0.75,0.0,0.06,0.92,0.84,0.26,0.9,1.0,0.43,0.24,1.0,0.66,0.23,0.2,0.59
exordium.csv,0.08,0.44,0.28,0.11,0.0,0.68,0.16,0.0,0.5,0.26,0.16,0.79,0.49,0.12,0.12
fltk.csv,0.54,0.35,0.39,0.06,0.21,0.3,0.06,0.0,0.15,0.88,0.32,0.28,0.18,0.12,0.06
gzigzag.csv,0.08,0.13,0.11,0.05,0.09,0.0,0.26,0.0,0.28,0.07,0.21,0.03,0.31,0.0,0.06
jcache.csv,0.42,0.82,0.89,0.53,0.66,0.49,0.35,0.5,0.54,0.29,0.63,0.38,0.34,0.0,0.82
mimosa.csv,0.54,0.46,0.83,0.29,0.46,0.42,0.45,0.0,0.59,0.0,0.47,0.28,0.27,0.1,0.18
moast.csv,0.04,0.02,0.0,0.09,0.05,0.09,0.03,0.0,0.0,0.02,0.0,0.03,0.03,0.02,0.0
mptvseries.csv,0.54,0.68,0.06,0.31,0.27,0.32,0.0,0.5,0.22,0.36,0.26,0.28,0.24,0.07,0.12
ogre.csv,0.96,1.0,0.89,1.0,0.86,1.0,0.87,0.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
qdvdauthor.csv,0.67,0.58,0.5,0.44,0.54,0.24,0.35,0.5,0.49,0.07,0.0,0.03,0.15,0.15,0.24
sauerbraten.csv,0.04,0.46,0.28,0.32,0.27,0.19,0.26,0.25,0.19,0.1,0.21,0.03,0.27,0.05,0.12
zxing.csv,0.5,0.18,0.78,0.6,0.36,0.44,0.39,0.5,0.62,0.6,0.32,0.62,0.62,0.22,0.0
