,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.69,0.1,0.1,0.29,0.36,0.17,0.19,0.04,1.0,0.05,0.24,0.05,0.09,0.16,0.19
biodwh.csv,0.71,0.36,0.44,0.42,0.28,0.31,0.23,0.08,0.27,0.41,0.41,0.04,0.91,0.57,0.22
brlcad.csv,0.41,0.8,0.76,0.35,0.29,0.35,0.52,0.87,0.18,0.12,0.7,0.93,0.07,0.1,0.36
delphilhlplib.csv,0.67,0.0,0.98,0.73,0.37,0.23,0.53,0.92,0.39,0.45,0.8,0.05,0.25,0.69,0.73
exordium.csv,0.14,0.31,0.55,0.25,1.0,0.39,0.4,0.2,0.44,0.6,0.21,0.19,0.32,0.7,0.39
fltk.csv,0.79,0.36,0.68,0.92,0.65,0.44,0.69,0.35,0.32,0.53,0.56,0.97,0.33,0.72,0.3
gzigzag.csv,0.42,0.29,0.31,0.26,0.22,0.98,0.46,0.29,0.16,0.26,0.31,0.02,0.11,0.3,0.27
jcache.csv,0.42,0.38,0.8,0.62,0.4,0.4,0.33,0.68,0.29,0.73,0.72,0.73,0.36,1.0,0.77
mimosa.csv,0.76,0.18,0.82,0.69,0.55,0.42,0.68,0.53,0.25,0.97,0.69,0.93,0.32,0.77,0.47
moast.csv,0.1,0.08,0.0,0.09,0.24,0.32,0.0,0.05,0.0,0.1,0.14,1.0,0.25,0.21,0.04
mptvseries.csv,0.79,0.33,0.23,0.71,0.52,0.41,0.97,0.54,0.28,0.71,0.59,0.67,0.43,0.58,0.29
ogre.csv,0.77,0.4,0.82,0.73,0.44,0.38,0.58,1.0,0.32,0.64,0.8,0.94,0.25,0.62,0.79
qdvdauthor.csv,0.53,0.35,0.61,0.5,0.37,0.38,0.54,0.43,0.31,0.42,0.95,0.5,0.08,0.49,0.5
sauerbraten.csv,0.96,0.38,0.19,0.64,0.42,0.43,0.46,0.43,0.24,0.58,0.51,0.93,0.23,0.62,0.1
zxing.csv,0.74,0.21,0.8,0.66,0.34,0.41,0.49,0.35,0.32,0.48,0.77,0.38,0.33,0.74,0.99
