,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.65,0.1,0.07,0.21,0.3,0.17,0.13,0.02,1.0,0.04,0.18,0.04,0.1,0.11,0.13
biodwh.csv,0.66,0.5,0.35,0.33,0.25,0.32,0.19,0.05,0.23,0.3,0.32,0.02,0.86,0.46,0.15
brlcad.csv,0.35,0.78,0.67,0.31,0.3,0.56,0.61,0.7,0.37,0.1,0.62,0.85,0.19,0.11,0.28
delphilhlplib.csv,0.53,0.0,0.97,0.3,0.44,0.28,0.34,0.0,0.66,0.41,0.0,0.04,0.37,0.68,0.6
exordium.csv,0.1,0.44,0.46,0.19,1.0,0.6,0.37,0.13,0.76,0.58,0.14,0.13,0.69,0.66,0.29
fltk.csv,0.74,0.48,0.59,0.91,0.79,0.57,0.63,0.26,0.36,0.36,0.48,0.91,0.47,0.69,0.21
gzigzag.csv,0.33,0.28,0.23,0.19,0.19,0.98,0.46,0.2,0.22,0.19,0.24,0.01,0.2,0.22,0.19
jcache.csv,0.36,0.48,0.37,0.59,0.6,0.62,0.36,0.52,0.54,0.75,0.61,0.6,0.67,1.0,0.47
mimosa.csv,0.71,0.26,0.48,0.65,0.79,0.61,0.79,0.41,0.48,0.96,0.62,0.86,0.53,0.74,0.36
moast.csv,0.06,0.05,0.0,0.06,0.19,0.28,0.0,0.04,0.0,0.06,0.1,0.99,0.2,0.15,0.02
mptvseries.csv,0.74,0.51,0.16,0.67,0.65,0.55,0.96,0.4,0.35,0.73,0.52,0.55,0.69,0.49,0.21
ogre.csv,0.17,0.0,0.37,0.0,0.45,0.0,0.43,1.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
qdvdauthor.csv,0.46,0.54,0.51,0.46,0.55,0.45,0.59,0.3,0.55,0.34,0.92,0.38,0.1,0.43,0.4
sauerbraten.csv,0.95,0.55,0.13,0.61,0.51,0.49,0.46,0.32,0.29,0.5,0.42,0.9,0.37,0.52,0.06
zxing.csv,0.69,0.21,0.54,0.62,0.45,0.61,0.54,0.25,0.59,0.5,0.71,0.27,0.72,0.75,0.98
