,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.74,0.64,0.79,0.0,0.4,0.52,1.0,0.67,0.72,0.92,0.0,0.26,0.5,0.29,0.77,0.29,0.4,0.84
ardour.csv,0.75,0.83,0.91,0.48,0.56,0.71,0.2,1.0,0.82,0.93,0.41,0.29,1.0,0.27,1.0,0.56,0.43,0.86
bacnet.csv,0.86,0.6,0.92,1.0,0.52,0.53,0.62,0.73,0.61,0.9,0.35,0.33,0.59,0.23,0.77,0.28,0.58,0.88
cortex-vfx.csv,0.8,0.55,0.82,0.3,0.34,0.6,0.47,0.69,0.72,0.94,0.23,0.27,0.56,1.0,0.77,0.47,0.53,0.82
enzo.csv,0.67,0.45,0.77,0.38,0.36,0.45,0.55,0.59,0.54,0.99,0.15,0.21,0.51,0.21,0.59,0.24,0.43,0.79
growl-for-windows.csv,0.65,0.5,0.84,0.34,0.39,0.53,0.56,0.64,0.71,0.71,0.22,0.25,0.51,0.25,1.0,0.26,0.58,0.9
heekscad.csv,0.99,0.65,0.86,0.47,0.4,0.56,0.77,0.64,0.71,0.92,0.2,0.26,0.62,0.28,0.8,0.36,0.68,0.83
minig.csv,0.7,0.59,0.82,0.35,1.0,0.53,0.72,0.64,0.62,0.94,0.23,0.22,0.67,0.31,0.65,0.29,0.55,0.82
multitude.csv,0.66,0.56,0.83,0.35,0.38,0.53,0.62,0.62,1.0,0.95,0.23,0.24,0.69,0.22,0.64,0.34,0.51,0.81
natpad.csv,0.63,0.56,0.85,0.33,0.46,0.55,0.67,0.67,0.69,0.75,0.18,0.24,0.63,0.27,0.79,0.24,1.0,0.92
open-ms.csv,0.63,0.59,0.75,0.26,0.25,0.49,0.36,0.53,0.44,0.77,0.43,1.0,0.4,0.34,0.62,0.17,0.28,0.75
planeshift.csv,0.7,0.6,0.99,0.38,0.59,0.55,0.53,0.62,0.67,0.87,0.2,0.3,0.57,0.24,0.71,0.34,0.45,0.76
rocrail.csv,0.76,0.93,0.94,0.4,0.67,0.92,0.0,0.88,1.0,1.0,0.0,0.48,0.86,0.67,1.0,1.0,0.67,1.0
salasaga.csv,0.54,0.48,0.74,0.31,0.38,0.4,0.49,0.54,0.39,0.73,1.0,0.19,0.4,0.23,0.64,0.13,0.35,0.74
xcsoar.csv,0.84,1.0,0.86,0.34,0.63,0.63,0.68,0.69,0.69,0.89,0.21,0.29,0.63,0.3,0.68,0.32,0.47,0.88
xemeiah.csv,0.87,0.67,0.88,0.41,0.44,1.0,0.69,0.72,0.79,0.97,0.32,0.29,0.7,0.38,0.81,0.45,0.69,0.92
xmoto.csv,0.76,0.57,0.85,0.35,0.41,0.63,0.52,0.67,0.66,0.94,0.15,0.24,0.97,0.26,0.67,0.28,0.41,0.88
zxing.csv,0.68,0.47,0.86,0.31,0.44,0.54,0.56,0.6,0.61,0.76,0.12,0.2,0.58,0.28,0.68,0.31,0.56,0.98
