,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.5,0.69,0.65,1.0,0.66,0.63,0.11,0.55,0.6,0.67,1.0,0.66,0.69,0.62,0.74,0.56,0.95,0.74
ardour.csv,0.65,0.65,0.62,0.53,0.81,0.65,0.98,0.01,0.73,0.62,0.62,0.71,0.78,0.7,0.83,0.39,0.86,0.89
bacnet.csv,0.53,0.54,0.53,0.08,0.66,0.69,0.76,0.5,0.8,0.75,0.72,0.62,0.67,0.72,0.74,0.62,0.6,0.63
cortex-vfx.csv,0.58,0.64,0.77,0.78,0.82,0.57,0.81,0.54,0.69,0.67,0.65,0.76,0.59,0.06,0.56,0.38,0.54,0.72
enzo.csv,0.73,0.81,0.82,0.73,0.95,0.86,0.86,0.79,0.82,0.04,0.99,0.87,0.65,0.91,0.96,0.86,0.79,0.83
growl-for-windows.csv,0.69,0.62,0.56,0.75,0.69,0.6,0.7,0.57,0.55,0.86,0.54,0.62,0.63,0.72,0.06,0.7,0.46,0.55
heekscad.csv,0.09,0.51,0.51,0.61,0.66,0.56,0.57,0.58,0.48,0.54,0.58,0.58,0.52,0.6,0.6,0.49,0.46,0.58
minig.csv,0.62,0.48,0.57,0.83,0.02,0.61,0.56,0.58,0.72,0.44,0.52,0.68,0.46,0.64,0.73,0.64,0.5,0.63
multitude.csv,0.74,0.53,0.56,0.81,0.74,0.6,0.57,0.62,0.02,0.24,0.53,0.65,0.42,0.8,0.79,0.51,0.55,0.62
natpad.csv,0.75,0.55,0.51,0.77,0.59,0.58,0.75,0.52,0.64,0.83,0.66,0.68,0.53,0.82,0.55,0.69,0.02,0.62
open-ms.csv,0.77,0.56,0.77,0.87,0.89,0.67,0.9,0.74,0.91,0.79,0.89,0.08,0.81,0.74,0.89,0.82,0.9,0.77
planeshift.csv,0.58,0.47,0.04,0.73,0.52,0.61,0.7,0.64,0.51,0.53,0.61,0.57,0.53,0.69,0.76,0.47,0.68,0.77
rocrail.csv,0.8,0.77,0.8,0.95,0.91,0.84,1.0,0.66,0.89,0.92,1.0,0.88,0.67,0.87,0.97,0.0,0.77,0.98
salasaga.csv,0.9,0.68,0.82,0.86,0.74,0.84,0.76,0.74,0.96,0.94,0.07,0.79,0.94,0.68,0.91,0.95,0.8,0.84
xcsoar.csv,0.4,0.02,0.5,0.87,0.64,0.5,0.68,0.49,0.66,0.57,0.56,0.54,0.46,0.58,0.72,0.53,0.71,0.55
xemeiah.csv,0.5,0.48,0.49,0.69,0.84,0.01,0.77,0.51,0.71,0.67,0.56,0.64,0.58,0.74,0.66,0.33,0.38,0.6
xmoto.csv,0.46,0.51,0.49,0.75,0.64,0.47,0.72,0.53,0.57,0.43,0.79,0.63,0.09,0.63,0.71,0.66,0.86,0.45
zxing.csv,0.71,0.85,0.49,0.81,0.6,0.64,0.66,0.7,0.58,0.86,0.79,0.81,0.53,0.66,0.69,0.52,0.47,0.06
