,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.62,0.79,0.89,0.83,0.97,0.65,0.88,0.45,0.77,0.08,0.54,0.91
delphilhlplib.csv,0.02,0.92,0.92,0.86,0.62,0.8,0.51,0.73,0.58,0.83,0.98,0.59
factor.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.02,1.0
fceugc.csv,0.94,0.63,0.71,0.05,0.85,0.96,0.68,0.89,0.86,0.71,0.62,0.81
fltk.csv,0.72,0.04,0.92,0.65,0.47,0.75,0.69,0.93,0.62,0.69,0.72,0.74
jstock.csv,0.54,0.84,0.93,0.95,0.62,0.95,0.63,0.02,0.53,0.7,0.95,0.61
lportal.csv,0.83,0.84,0.86,0.6,0.81,1.07,0.1,0.69,0.95,0.74,0.94,0.79
natpad.csv,0.75,0.58,0.87,0.62,0.68,0.86,0.57,0.87,0.52,0.59,0.6,0.07
ogre.csv,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
phet.csv,0.82,0.89,0.12,0.87,1.0,0.55,0.92,0.78,1.17,0.74,0.75,0.99
sandiaportals.csv,0.6,0.58,0.84,0.59,0.56,1.17,0.91,0.58,0.0,0.78,0.49,0.77
sumatrapdf.csv,1.0,0.66,0.77,0.68,0.06,1.11,0.61,0.67,1.0,0.69,0.62,1.0
