,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.52,0.48,0.96,0.42,0.0,0.5,0.8,0.72,0.65,0.91,0.51,0.83
delphilhlplib.csv,0.42,0.93,0.96,0.83,0.94,0.68,0.72,0.71,0.59,0.67,0.86,0.38
factor.csv,0.0,0.0,0.67,0.0,0.0,0.0,0.97,0.0,0.0,0.75,0.53,0.0
fceugc.csv,0.58,0.74,0.81,0.65,0.91,0.98,0.73,0.64,0.85,0.55,0.62,0.95
fltk.csv,0.64,0.55,0.66,0.65,0.67,0.88,0.49,0.8,0.7,0.82,0.67,0.58
jstock.csv,0.58,0.96,0.84,0.5,0.72,0.71,0.77,0.71,0.5,0.68,0.5,0.57
lportal.csv,0.51,0.72,0.97,0.63,0.73,0.59,0.99,0.59,0.92,0.89,0.89,0.97
natpad.csv,0.46,0.6,0.68,0.62,0.93,0.79,0.56,0.91,0.55,0.41,0.75,0.55
ogre.csv,0.38,0.42,0.36,0.39,0.34,0.43,0.38,0.32,0.39,0.34,0.41,0.43
phet.csv,0.58,0.97,0.98,0.68,0.81,0.52,1.0,0.5,0.7,0.85,0.52,0.97
sandiaportals.csv,0.5,0.49,0.39,0.43,0.41,0.6,0.39,0.47,0.43,0.35,0.47,0.45
sumatrapdf.csv,0.38,0.52,0.44,0.59,0.66,0.52,0.44,0.56,0.39,0.37,0.5,0.43
