,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,3.0,19.0,0.0,7.0,5.0,0.0,97.0,37.0
alsa.csv,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,1.0,3.0,1.0,1.0,5.0,2.0,0.0,97.0,3.0
boost.csv,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,4.0,2.0,0.0,1.0,2.0,7.0,4.0,19.0,0.0
fmri-dmt.csv,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,3.0,1.0,1.0,2.0,2.0,0.0,97.0,41.0
genecys.csv,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,3.0,7.0,2.0,0.0,5.0,0.0,19.0,35.0
gusanos.csv,5.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,2.0,6.0,0.0,3.0,14.0,3.0,31.0,25.0
hatari.csv,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28.0,2.0,6.0,1.0,1.0,2.0,6.0,1.0,19.0,14.0
n2cms.csv,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,2.0,1.0,7.0,0.0,13.0,14.0
nug.csv,2.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,22.0,5.0,3.0,1.0,1.0,2.0,3.0,0.0,28.0,41.0
nuttx.csv,1.0,0.0,4.0,6.0,1.0,0.0,0.0,1.0,7.0,4.0,2.0,3.0,0.0,3.0,2.0,0.0,5.0,1.0
proftp.csv,0.0,222.0,64.0,14.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,168.0,2.0,9.0,0.0,6.0,5.0
pydev.csv,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,17.0,0.0
tcl.csv,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,19.0,5.0,3.0,22.0,1.0,2.0,6.0,0.0,41.0,828.0
truevision.csv,4.0,0.0,1.0,0.0,78.0,0.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,11.0,8.0,27.0,1.0
uclmda.csv,121.0,0.0,64.0,52.0,78.0,0.0,0.0,0.0,152.0,2.0,2.0,108.0,0.0,10.0,67.0,0.0,97.0,38.0
uwom.csv,8.0,0.0,1.0,1.0,78.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,10.0,0.0,14.0,4.0
wxjs.csv,6.0,222.0,64.0,52.0,0.0,0.0,1.0,2.0,152.0,396.0,0.0,3.0,0.0,3.0,9.0,1.0,6.0,828.0
wxstudio.csv,0.0,0.0,1.0,9.0,0.0,3.0,0.0,3.0,21.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,24.0,41.0
