,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.18,0.65,1.01,0.53,0.55,0.97,0.68,0.63,0.77,0.54,0.64,1.0,0.61,0.92
jicarilla.csv,1.0,0.93,0.23,1.0,0.97,0.89,1.02,0.91,1.04,1.0,1.0,0.96,0.99,1.07
jmule.csv,0.7,0.59,1.06,0.6,0.55,0.82,0.78,0.58,0.92,0.45,0.67,0.9,0.4,0.24
micomt.csv,0.86,0.72,0.77,0.8,0.74,0.82,0.87,0.82,0.26,0.74,0.77,0.89,0.66,0.89
migen.csv,0.54,0.85,0.92,0.67,0.48,0.55,0.95,0.77,0.65,0.59,0.71,0.99,0.62,0.92
mvnforum.csv,1.11,0.72,0.79,0.95,0.7,0.9,0.59,0.96,0.56,0.64,0.72,0.91,0.79,1.0
ng4j.csv,0.45,0.65,1.05,0.53,0.66,0.76,0.77,0.46,0.28,0.49,0.66,0.99,0.35,0.38
open-data-kit.csv,0.3,0.57,0.95,0.76,0.72,0.75,0.79,0.56,0.9,0.32,0.61,0.87,0.66,0.62
opennms.csv,0.54,0.66,0.98,0.54,0.74,0.45,1.02,0.93,1.16,0.81,1.02,0.88,0.74,0.63
ossim.csv,0.57,0.71,0.76,0.34,0.81,0.61,0.89,0.85,1.11,0.77,0.87,0.98,0.8,0.97
plplot.csv,0.73,0.57,1.01,0.58,0.55,0.7,0.64,0.37,0.66,0.56,0.59,0.92,0.49,0.92
qedo.csv,1.02,0.99,0.56,0.93,0.82,0.79,0.95,0.93,1.07,0.96,1.03,0.3,1.01,0.77
tradelink.csv,0.73,0.71,0.98,0.97,0.61,0.9,0.51,0.63,0.4,0.64,0.42,0.65,0.61,1.0
wgs-assembler.csv,0.39,0.52,0.98,0.54,0.52,0.76,0.71,0.63,0.71,0.38,0.57,1.09,0.55,0.59
