,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.73,1.0,1.0,0.48,1.0,1.0,1.0,0.53,0.4,1.0,1.0,0.78,0.6,0.67,0.8,0.74,1.03,0.78
alsa.csv,0.59,0.75,0.48,0.68,0.79,0.68,0.5,0.63,0.56,0.62,0.56,0.35,0.5,0.67,0.59,0.68,1.06,0.58
boost.csv,0.69,0.78,0.52,0.58,0.71,0.49,0.62,0.52,0.79,0.45,0.53,0.54,0.84,0.56,0.63,0.59,0.87,0.52
fmri-dmt.csv,0.73,0.87,0.96,0.53,0.84,0.71,0.81,0.99,0.94,0.87,0.87,0.8,0.76,0.74,0.26,0.95,1.1,0.97
genecys.csv,0.83,0.86,0.87,0.93,0.73,0.39,0.81,0.92,0.9,0.81,1.0,0.78,1.01,0.9,0.89,0.9,0.68,0.59
gusanos.csv,0.69,0.83,0.84,0.83,0.96,1.01,0.69,0.59,0.92,0.91,0.33,0.77,0.64,0.52,0.7,0.72,1.01,0.8
hatari.csv,0.81,0.85,0.5,0.73,0.86,0.83,0.77,0.72,0.78,0.77,0.82,0.95,0.78,0.53,0.9,0.65,0.63,0.64
n2cms.csv,0.35,0.82,0.68,0.92,0.9,0.71,0.63,0.62,0.76,0.81,0.63,0.62,0.94,0.83,0.55,0.51,0.62,0.52
nug.csv,0.67,0.67,0.92,0.38,1.0,1.02,0.88,0.89,0.76,0.82,0.55,0.87,0.68,0.94,0.73,0.88,1.03,0.89
nuttx.csv,0.86,0.57,0.79,0.82,0.57,0.77,0.79,0.53,0.47,0.83,0.88,0.7,0.39,0.85,1.07,0.62,0.69,0.8
proftp.csv,0.96,1.0,1.0,0.9,0.71,0.67,0.96,0.3,0.69,0.88,0.89,0.7,1.0,0.63,0.88,0.84,0.38,0.61
pydev.csv,0.6,0.71,0.53,0.79,0.81,0.56,0.71,0.53,0.65,0.75,0.67,0.56,0.89,0.44,0.59,0.53,0.5,0.48
tcl.csv,0.81,0.84,0.86,0.83,0.47,0.95,0.98,0.68,0.75,0.63,0.88,0.87,1.03,0.76,0.73,0.67,0.88,1.0
truevision.csv,0.69,0.91,0.57,1.01,1.0,0.78,0.96,0.58,0.59,0.64,0.6,0.38,0.84,0.63,0.55,0.82,1.14,0.47
uclmda.csv,1.0,0.84,1.0,1.0,1.0,0.99,0.98,0.92,1.0,0.97,0.8,0.98,0.01,0.98,1.0,0.82,1.0,0.98
uwom.csv,0.79,0.79,0.93,0.77,1.0,0.84,0.94,0.64,0.7,0.56,0.78,0.5,0.84,0.61,0.6,0.9,0.9,0.31
wxjs.csv,1.0,1.0,0.97,1.0,0.7,1.0,0.97,0.69,1.02,0.99,0.96,0.97,0.99,0.89,0.89,0.95,0.2,1.0
wxstudio.csv,0.75,0.65,0.66,0.85,0.9,1.01,0.73,0.84,0.67,0.94,0.77,0.95,0.33,0.69,0.71,0.31,0.66,1.08
