,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv,biodwh.csv
all-plasm.csv,0.35,0.29,0.18,0.29,0.37,0.31,0.23,0.34,0.34,0.28,0.27,0.37,0.25
archive-crawler.csv,0.33,0.31,0.23,0.35,0.49,0.22,0.13,0.26,0.23,0.17,0.2,0.36,0.27
biodwh.csv,0.35,0.39,0.18,0.43,0.32,0.42,0.34,0.4,0.4,0.28,0.27,0.19,0.33
blue-c.csv,0.33,0.36,0.27,0.27,0.39,0.27,0.21,0.35,0.41,0.28,0.27,0.33,0.28
dynalloy.csv,0.3,0.22,0.28,0.37,0.38,0.24,0.19,0.32,0.33,0.22,0.24,0.37,0.19
jcae.csv,0.33,0.35,0.27,0.4,0.19,0.18,0.37,0.16,0.38,0.19,0.2,0.37,0.27
kmatplot.csv,0.12,0.2,0.24,0.38,0.56,0.2,0.2,0.13,0.14,0.22,0.24,0.37,0.2
mscore.csv,0.29,0.39,0.3,0.27,0.29,0.2,0.27,0.26,0.3,0.32,0.31,0.39,0.34
nosleepsoftware.csv,0.33,0.37,0.17,0.14,0.53,0.42,0.34,0.37,0.39,0.35,0.29,0.37,0.19
openmalaria.csv,0.26,0.27,0.28,0.27,0.15,0.2,0.26,0.2,0.29,0.24,0.27,0.21,0.28
popeye-chess.csv,0.22,0.18,0.26,0.17,0.14,0.16,0.15,0.16,0.16,0.27,0.22,0.2,0.31
riff-evolve.csv,0.22,0.16,0.19,0.16,0.18,0.13,0.14,0.15,0.24,0.19,0.22,0.21,0.19
virtuoso.csv,0.25,0.13,0.28,0.43,0.2,0.42,0.38,0.31,0.14,0.21,0.24,0.14,0.18
