,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.25,0.14,0.39,0.03,0.07,0.35,0.0,0.0,0.0,0.48,0.05,0.86,0.3,0.02,0.24
biodwh.csv,0.25,0.01,0.5,0.49,0.2,0.18,0.29,0.5,0.37,0.02,0.32,0.72,0.0,0.17,0.24
brlcad.csv,0.79,0.0,1.0,0.98,0.89,0.81,0.77,0.75,0.93,1.0,0.84,0.93,0.76,0.93,0.94
delphilhlplib.csv,0.17,0.38,0.0,0.06,0.34,0.38,0.48,0.0,0.18,0.1,0.05,0.0,0.07,0.1,0.18
exordium.csv,0.12,0.53,0.33,0.02,0.0,0.47,0.19,0.25,0.47,0.52,0.21,0.93,0.38,0.17,0.41
fltk.csv,0.29,0.1,0.22,0.0,0.34,0.28,0.16,0.0,0.07,0.19,0.42,0.28,0.2,0.07,0.18
gzigzag.csv,0.38,0.37,0.0,0.17,0.2,0.0,0.29,0.0,0.12,0.05,0.26,0.31,0.13,0.17,0.06
jcache.csv,0.38,0.38,0.83,0.41,0.39,0.61,0.26,0.5,0.57,0.62,0.37,0.86,0.72,0.0,0.53
mimosa.csv,0.67,0.84,0.67,0.45,0.66,0.62,0.71,0.5,0.62,0.02,0.58,0.14,0.58,0.27,0.53
moast.csv,1.0,1.0,0.89,1.0,1.0,0.8,1.0,1.0,0.81,0.98,1.0,0.0,0.92,0.83,0.76
mptvseries.csv,0.46,0.4,0.17,0.18,0.21,0.15,0.0,0.0,0.35,0.1,0.32,0.24,0.18,0.07,0.06
ogre.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
qdvdauthor.csv,0.42,0.21,0.72,0.27,0.34,0.02,0.16,0.75,0.34,0.14,0.0,0.0,0.13,0.05,0.0
sauerbraten.csv,0.0,0.99,0.67,0.22,0.3,0.27,0.58,0.5,0.41,0.4,0.42,0.24,0.42,0.12,0.06
zxing.csv,0.54,0.0,0.44,0.83,0.59,0.43,0.48,0.75,0.44,0.55,0.58,0.9,0.63,0.17,0.0
