,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.78,0.68,0.95,0.65,0.55,0.62,0.57,0.7,0.66,0.74,0.48,0.67,0.44,0.75,0.84,0.88,0.53,0.32
bacula.csv,0.41,0.43,0.49,0.36,0.45,0.44,0.56,0.35,0.39,0.47,0.45,0.33,0.36,0.43,0.47,0.42,0.4,0.34
blue-c.csv,0.38,0.5,0.36,0.66,0.49,0.54,0.48,0.65,0.49,0.55,0.41,0.5,0.44,0.49,0.58,0.61,0.42,0.38
enlightenment.csv,0.42,0.51,0.61,0.67,0.47,0.55,0.65,0.58,0.51,0.65,0.46,0.56,0.42,0.45,0.59,0.71,0.44,0.38
fltk.csv,0.49,0.55,0.66,0.55,0.52,0.68,0.82,0.58,0.55,0.68,0.47,0.71,0.4,0.56,0.44,0.72,0.43,0.33
freewrl.csv,0.68,0.73,0.42,0.73,0.7,0.99,0.81,0.89,0.74,0.85,0.85,0.44,0.85,0.66,0.94,0.68,0.66,0.79
genecys.csv,0.37,0.44,0.37,0.58,0.39,0.43,0.4,0.34,0.37,0.44,0.44,0.45,0.35,0.4,0.41,0.38,0.39,0.3
genoviz.csv,0.9,0.93,0.54,0.67,0.8,0.98,0.75,0.83,0.89,0.96,0.5,0.0,0.92,0.9,0.0,0.0,0.99,0.8
gzigzag.csv,0.87,0.72,0.93,0.83,0.81,0.57,0.7,0.95,0.95,0.98,0.4,0.89,0.76,0.89,0.95,0.92,1.0,0.9
jparsec.csv,0.4,0.43,0.31,0.38,0.42,0.46,0.45,0.5,0.44,0.47,0.38,0.83,0.36,0.4,0.57,0.46,0.46,0.32
lportal.csv,0.97,0.7,0.4,0.0,0.75,0.73,0.77,0.92,0.99,0.64,0.0,0.65,0.96,0.92,0.0,0.69,0.99,0.79
ogrehg.csv,0.77,0.6,0.38,0.86,0.57,0.66,0.55,0.69,0.58,0.66,0.61,0.39,0.56,0.79,0.74,0.86,0.55,0.44
patterntesting.csv,0.34,0.47,0.38,0.57,0.51,0.4,0.44,0.32,0.33,0.4,0.3,0.31,0.42,0.41,0.4,0.53,0.45,0.42
pfaedit.csv,0.52,0.68,0.34,0.62,0.48,0.67,0.88,0.42,0.55,0.59,0.45,0.45,0.51,0.55,0.51,0.71,0.49,0.33
pgui.csv,0.55,0.97,0.73,0.89,0.75,0.74,0.62,0.48,0.95,0.72,0.67,0.5,0.66,0.75,0.83,0.89,0.89,0.43
roller.csv,0.58,0.57,0.47,0.6,0.6,0.6,0.69,0.94,0.59,0.61,0.57,0.5,0.45,0.56,0.58,0.61,0.53,0.38
sylpheed-claws.csv,0.44,0.52,0.38,0.92,0.47,0.58,0.4,0.55,0.5,0.5,0.41,0.61,0.56,0.44,0.57,0.71,0.61,0.4
xbg.csv,0.95,0.94,0.92,0.67,0.91,0.97,0.0,0.97,0.97,0.96,0.51,0.67,0.91,0.92,0.0,0.88,1.0,0.7
