,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.28,0.39,0.24,0.37,0.41,0.41,0.37,0.89,0.57,0.33,0.37,0.3,0.65,0.34,0.22,0.12,0.74,0.8
bacula.csv,0.97,0.62,0.48,0.73,0.62,0.65,0.47,0.57,0.66,0.56,0.82,0.59,0.77,0.66,0.67,0.75,0.89,0.8
blue-c.csv,0.84,0.79,0.76,0.53,0.66,0.7,1.0,0.73,0.84,0.76,0.87,0.44,0.77,0.74,0.49,0.38,0.93,0.8
enlightenment.csv,0.61,0.68,0.43,0.43,0.69,0.97,0.47,0.46,0.45,0.5,0.69,0.37,0.71,0.77,0.51,0.62,0.86,0.8
fltk.csv,0.55,0.9,0.37,0.67,0.62,0.43,0.3,0.51,0.49,0.47,0.63,0.22,0.79,0.66,0.71,0.62,0.89,0.8
freewrl.csv,0.27,0.33,0.57,0.27,0.45,0.2,0.27,0.14,0.33,0.3,0.29,0.93,0.2,0.4,0.24,0.38,0.32,0.4
genecys.csv,0.97,0.91,0.8,0.73,0.97,0.85,0.93,0.73,0.88,0.82,0.98,0.63,0.99,1.0,0.96,1.0,1.0,1.0
genoviz.csv,0.1,0.11,0.44,0.07,0.1,0.1,0.13,0.14,0.08,0.14,0.27,0.0,0.15,0.09,0.02,0.0,0.07,1.0
gzigzag.csv,0.26,0.39,0.09,0.33,0.93,0.58,0.27,0.16,0.12,0.24,0.45,0.22,0.25,0.3,0.24,0.12,0.4,0.6
jparsec.csv,0.96,0.89,0.98,0.63,0.69,0.96,0.83,0.95,0.9,0.84,0.87,0.15,0.81,1.0,0.91,0.75,0.81,1.0
lportal.csv,0.17,0.47,0.63,0.0,0.41,0.5,0.43,0.03,0.24,0.61,0.02,0.41,0.15,0.21,0.0,0.12,0.85,0.4
ogrehg.csv,0.29,0.5,0.74,0.27,0.52,0.44,0.7,0.41,0.52,0.93,0.58,0.7,0.6,0.32,0.2,0.38,0.5,0.8
patterntesting.csv,0.67,0.64,0.7,0.97,0.41,0.54,0.53,0.65,0.71,0.56,0.61,0.81,0.64,0.68,0.62,0.38,0.66,0.8
pfaedit.csv,0.44,0.22,1.0,0.53,0.59,0.5,0.2,0.57,0.46,0.56,0.73,0.48,0.52,0.72,0.73,0.5,0.76,0.8
pgui.csv,0.41,0.16,0.37,0.13,0.45,0.34,0.4,0.3,0.1,0.31,0.35,0.48,0.29,0.91,0.11,0.12,0.36,0.6
roller.csv,0.44,0.48,0.5,0.4,0.48,0.59,0.37,0.14,0.49,0.52,0.31,0.07,0.99,0.49,0.31,0.62,0.64,0.8
sylpheed-claws.csv,0.65,0.64,0.65,0.13,0.59,0.42,0.5,0.57,0.97,0.56,0.5,0.41,0.47,0.72,0.62,0.25,0.61,1.0
xbg.csv,0.21,0.1,0.17,0.1,0.1,0.08,0.0,0.46,0.21,0.12,0.63,0.11,0.13,0.13,0.0,1.0,0.15,0.4
