,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.75,0.69,0.17,0.49,0.06,0.74,0.04,0.52,0.41,0.96,0.8,0.16
delphilhlplib.csv,0.99,0.15,0.12,0.22,0.51,0.55,0.16,0.3,0.59,0.27,0.08,0.58
factor.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.99,0.0
fceugc.csv,0.61,0.52,0.31,0.98,0.24,0.3,0.09,0.17,0.27,0.22,0.57,0.28
fltk.csv,0.52,0.97,0.13,0.42,0.62,0.4,0.09,0.11,0.55,0.28,0.43,0.47
jstock.csv,0.64,0.27,0.1,0.09,0.49,0.32,0.15,0.96,0.67,0.26,0.09,0.52
lportal.csv,0.71,0.43,0.2,0.47,0.3,0.76,0.95,0.33,0.18,0.21,0.27,0.32
natpad.csv,0.79,0.64,0.18,0.47,0.43,0.46,0.11,0.17,0.7,0.29,0.56,0.96
ogre.csv,0.85,0.73,0.38,0.49,0.52,1.0,0.08,0.38,0.85,0.25,0.78,0.57
phet.csv,0.65,0.2,0.94,0.27,0.1,0.87,0.06,0.28,0.37,0.21,0.69,0.13
sandiaportals.csv,0.69,0.67,0.3,0.52,0.59,0.55,0.09,0.42,1.0,0.21,0.73,0.56
sumatrapdf.csv,0.85,0.54,0.3,0.42,0.97,0.68,0.11,0.34,0.85,0.24,0.58,0.57
