,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.79,0.59,0.33,0.34,1.0,0.98,0.02,0.44,0.75,1.0,0.74,0.67
delphilhlplib.csv,1.0,0.73,0.15,0.5,0.75,0.98,0.09,0.29,1.0,0.67,0.29,0.48
factor.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,1.0,0.0
fceugc.csv,0.67,0.69,0.25,1.0,0.45,0.95,0.05,0.14,0.69,0.14,0.73,0.43
fltk.csv,0.75,0.98,0.12,0.47,0.71,1.0,0.05,0.2,1.0,0.24,0.8,0.39
jstock.csv,0.87,0.91,0.12,0.5,0.67,0.96,0.1,0.93,0.85,0.21,1.0,0.74
lportal.csv,0.73,0.47,0.3,0.4,0.3,0.97,1.0,0.24,0.5,0.15,0.42,0.36
natpad.csv,0.77,0.65,0.16,0.38,0.67,0.97,0.06,0.18,0.84,0.19,0.85,1.0
ogre.csv,0.75,0.57,0.24,0.33,0.35,1.0,0.04,0.23,0.75,0.14,0.64,0.4
phet.csv,0.71,0.49,1.0,0.23,0.11,0.99,0.04,0.2,0.48,0.15,0.65,0.15
sandiaportals.csv,0.8,0.65,0.2,0.41,0.46,0.96,0.04,0.3,1.0,0.13,0.76,0.42
sumatrapdf.csv,0.75,0.61,0.21,0.34,1.0,0.97,0.06,0.31,0.75,0.15,0.71,0.4
