,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.72,0.83,0.12,0.86,0.03,0.59,0.22,0.62,0.28,0.92,0.85,0.09
delphilhlplib.csv,0.98,0.08,0.1,0.14,0.39,0.38,0.55,0.31,0.42,0.17,0.05,0.72
factor.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.98,0.0
fceugc.csv,0.57,0.41,0.39,0.95,0.16,0.18,0.44,0.23,0.17,0.5,0.46,0.21
fltk.csv,0.4,0.96,0.14,0.38,0.55,0.25,0.74,0.08,0.38,0.33,0.29,0.58
jstock.csv,0.51,0.16,0.09,0.05,0.39,0.19,0.39,1.0,0.55,0.33,0.05,0.4
lportal.csv,0.7,0.4,0.14,0.57,0.29,0.63,0.9,0.54,0.11,0.33,0.2,0.28
natpad.csv,0.81,0.62,0.2,0.62,0.32,0.3,0.72,0.15,0.6,0.58,0.41,0.93
ogre.csv,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phet.csv,0.6,0.13,0.88,0.33,0.1,0.77,0.09,0.46,0.3,0.33,0.73,0.12
sandiaportals.csv,0.6,0.69,0.59,0.71,0.81,0.39,0.99,0.69,1.0,0.58,0.71,0.81
sumatrapdf.csv,1.0,0.48,0.51,0.52,0.94,0.53,0.84,0.38,1.0,0.58,0.49,1.0
