,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.44,0.37,0.86,0.67,0.2,0.69,0.02,1.0,0.38,0.65,0.62
codesmith.csv,0.22,0.42,0.57,0.83,0.31,0.83,0.09,0.41,0.42,0.59,0.98
javaprofiler.csv,0.46,0.34,0.52,0.76,0.24,0.66,0.03,0.42,0.45,1.0,0.65
jpaul.csv,1.0,0.39,1.0,0.77,0.25,0.79,0.15,0.5,0.0,1.0,0.67
jrdf.csv,0.5,0.38,1.0,0.83,1.0,1.0,0.07,0.26,0.42,0.7,0.66
mecat.csv,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.21,1.0,0.32,0.64,0.24,0.75,0.07,0.33,0.47,0.76,0.66
synecdoche.csv,0.53,0.32,0.8,0.85,0.2,0.95,0.04,0.37,1.0,0.69,0.67
tycho.csv,0.41,0.3,1.0,0.74,0.29,0.68,0.04,0.5,0.43,0.79,0.77
unicase.csv,0.29,0.31,0.55,0.99,0.21,0.9,0.05,0.28,0.52,0.55,0.63
xcmetadataservicestoolkit.csv,0.36,0.36,0.54,0.8,0.21,1.0,0.06,0.26,0.4,0.53,0.62
