,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.37,0.0,0.32,0.56,0.27,0.86,0.39,0.53,0.1,0.49,0.23,0.17,0.43,0.54,0.15,0.57,0.55,0.41,0.3,0.29
cuberok.csv,0.59,0.74,0.33,0.34,0.34,0.31,0.46,0.43,0.39,0.72,0.24,0.33,0.45,0.89,0.58,0.51,0.09,0.38,0.49,0.49
emisview.csv,0.0,0.44,0.12,0.0,0.14,0.25,0.71,0.42,0.44,0.0,0.24,0.17,0.38,0.0,0.77,0.66,0.0,0.0,0.13,0.0
jas.csv,0.57,0.41,0.33,0.72,0.05,0.6,0.51,0.58,0.53,0.36,0.82,0.33,0.43,0.55,0.88,0.51,0.36,0.32,0.29,0.0
jatlas.csv,0.38,0.96,0.31,0.09,0.41,0.49,0.49,0.44,0.06,0.43,0.0,0.46,0.24,0.0,0.7,0.64,0.11,0.43,0.09,0.52
javaprofiler.csv,0.56,0.64,0.57,0.0,0.44,0.46,0.71,0.58,0.48,0.51,0.9,0.69,0.45,0.45,0.47,0.6,0.35,0.42,0.83,0.54
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,0.47,0.24,0.21,0.31,0.28,0.07,0.48,0.33,0.49,0.45,0.99,0.17,0.23,0.0,0.0,0.4,0.21,0.48,0.24,0.55
jrefactory.csv,0.46,0.22,0.65,0.3,0.74,0.63,0.05,0.13,0.6,0.55,0.23,0.22,0.26,0.57,0.21,0.36,0.43,0.43,0.42,0.13
kdenlive.csv,0.71,0.75,0.48,0.44,0.53,0.21,0.56,0.55,0.57,0.76,0.24,0.47,0.41,0.0,0.63,0.77,0.47,0.52,0.47,0.25
m-m-m.csv,0.64,0.24,0.82,0.83,0.64,0.13,0.53,0.38,0.68,0.61,0.41,0.0,0.48,0.39,0.37,0.55,0.55,0.52,0.24,0.13
octet.csv,0.51,0.62,0.43,0.3,0.43,0.71,0.0,0.13,0.52,0.53,0.62,0.84,0.0,0.0,0.7,0.47,0.31,0.44,0.38,0.29
opendvr.csv,0.4,0.62,0.23,0.12,0.4,0.11,0.76,0.59,0.21,0.27,0.76,0.34,0.68,0.0,0.64,0.61,0.66,0.35,0.31,0.29
opennms.csv,0.24,0.62,0.0,0.04,0.0,0.11,0.47,0.64,0.44,0.21,0.63,0.17,0.2,0.0,0.43,0.0,0.17,0.0,0.0,0.0
poormans.csv,0.2,0.45,0.21,0.0,0.26,0.07,0.61,0.42,0.04,0.36,0.24,0.34,0.26,0.0,0.29,0.75,0.0,0.12,0.06,0.29
power-architect.csv,0.0,0.09,0.3,0.0,0.13,0.59,0.63,0.53,0.0,0.24,0.54,0.54,0.76,0.0,0.59,0.35,0.0,0.0,0.0,0.37
rohxel.csv,0.57,0.24,0.05,0.24,0.26,0.0,0.45,0.25,0.78,0.27,0.0,0.33,0.07,0.0,0.15,0.49,0.45,0.35,0.06,0.0
synecdoche.csv,0.42,0.43,0.0,0.25,0.46,0.57,0.38,0.6,0.41,0.0,0.57,0.43,0.51,0.0,0.14,0.39,0.57,0.64,0.34,0.6
thedata.csv,0.65,0.69,0.33,0.48,0.58,0.49,0.33,0.59,0.46,0.5,0.57,0.36,0.4,0.0,0.57,0.6,0.46,0.52,0.58,0.98
x-ray-mule.csv,0.25,0.6,0.32,0.82,0.14,0.0,0.2,0.52,0.46,0.0,0.56,0.31,0.25,0.0,0.4,0.28,0.0,0.12,0.45,0.0
