,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.5,0.0,0.79,0.73,0.44,0.9,0.28,0.27,0.6,0.34,0.02,1.0,0.8,0.09,0.07,0.22,0.3,0.37,0.5,0.06
cuberok.csv,0.67,0.13,0.88,0.6,0.5,0.43,0.33,0.31,0.78,0.59,0.1,0.14,0.77,0.07,0.07,0.36,0.3,0.5,0.83,0.06
emisview.csv,0.0,0.12,0.71,0.0,0.43,0.44,0.46,0.28,0.8,0.0,0.04,0.12,0.79,0.0,0.3,0.35,0.0,0.0,1.0,0.0
jas.csv,0.73,0.06,0.83,0.79,0.29,0.53,0.39,0.34,0.77,0.47,0.04,0.15,0.88,0.17,0.33,0.2,0.28,0.33,0.76,0.0
jatlas.csv,0.65,0.33,0.88,0.4,0.66,0.5,0.27,0.23,1.0,0.35,0.0,0.14,0.72,0.0,0.1,0.38,0.5,0.61,0.71,0.08
javaprofiler.csv,0.69,0.1,0.86,0.6,0.49,0.43,0.46,0.28,0.78,0.39,0.06,0.16,0.76,0.03,0.07,0.24,0.27,0.37,0.9,0.07
jchassis.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,0.72,0.11,0.75,0.53,0.5,0.29,0.53,0.44,0.82,0.47,0.28,0.33,0.61,0.0,0.0,0.41,0.24,0.39,0.83,0.22
jrefactory.csv,0.75,0.02,0.89,0.39,0.75,0.54,0.25,0.1,0.8,0.39,0.01,0.09,0.86,0.04,0.02,0.14,0.26,0.39,0.67,0.06
kdenlive.csv,0.79,0.14,0.83,0.52,0.58,0.33,0.33,0.29,0.88,0.56,0.02,0.16,0.78,0.0,0.08,0.33,0.31,0.38,0.63,0.02
m-m-m.csv,0.73,0.08,0.95,0.81,0.64,0.48,0.36,0.2,0.83,0.43,0.02,0.11,0.81,0.02,0.05,0.21,0.3,0.38,0.67,0.05
octet.csv,0.63,0.09,0.79,0.5,0.48,0.58,0.3,0.27,0.78,0.37,0.03,0.33,0.79,0.0,0.1,0.24,0.32,0.39,0.63,0.05
opendvr.csv,0.65,0.14,0.67,0.3,0.48,0.5,0.46,0.41,0.88,0.5,0.05,0.4,0.85,0.0,0.14,0.33,0.5,0.5,0.69,0.07
opennms.csv,0.67,0.14,0.0,1.0,0.0,0.5,0.4,0.5,0.8,0.5,0.07,0.2,0.82,0.0,0.43,0.0,0.3,0.0,0.0,0.0
poormans.csv,0.71,0.4,0.75,0.0,0.73,0.22,0.34,0.26,1.0,0.39,0.05,0.4,0.62,0.0,0.07,0.52,0.0,0.43,1.0,0.08
power-architect.csv,0.64,0.06,0.78,0.59,0.57,0.54,0.35,0.28,0.77,0.4,0.03,0.13,0.95,0.03,0.08,0.21,0.29,0.4,0.67,0.04
rohxel.csv,0.74,0.09,1.0,1.0,0.65,0.0,0.29,0.35,0.91,0.38,0.0,0.22,0.6,0.0,0.17,0.42,0.45,0.38,0.5,0.0
synecdoche.csv,0.57,0.07,0.78,0.35,0.56,0.54,0.24,0.31,0.79,0.39,0.03,0.09,0.84,0.0,0.02,0.25,0.33,0.6,0.55,0.08
thedata.csv,0.76,0.11,0.81,0.55,0.61,0.52,0.21,0.29,0.76,0.35,0.02,0.07,0.77,0.0,0.07,0.23,0.29,0.38,0.69,0.44
x-ray-mule.csv,0.62,0.11,0.75,0.86,0.33,0.0,0.33,0.33,0.77,0.0,0.02,0.07,0.71,0.0,0.05,0.19,0.0,0.27,0.82,0.0
