,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.56,0.19,0.09,0.12,0.13,0.0,0.19,0.07,0.39,0.0,0.17,0.16
delphilhlplib.csv,0.0,0.88,0.69,0.91,0.15,1.0,0.74,0.58,1.0,0.32,0.57,0.84
factor.csv,0.06,0.16,0.24,0.14,0.04,0.5,0.43,0.07,0.11,0.18,0.0,0.22
fceugc.csv,0.5,0.5,0.15,0.02,0.18,0.75,0.33,0.3,0.06,0.06,0.17,0.23
fltk.csv,0.11,0.1,0.28,0.09,0.07,0.0,0.61,0.07,0.0,0.07,0.13,0.25
jstock.csv,0.06,0.07,0.1,0.09,0.02,0.5,0.04,0.02,0.11,0.07,0.09,0.02
lportal.csv,0.56,0.64,0.01,0.58,0.45,1.0,0.0,0.42,0.56,0.35,0.48,0.75
natpad.csv,0.72,0.71,0.43,0.44,0.25,0.5,0.6,0.26,0.5,0.68,0.3,0.0
ogre.csv,0.83,0.97,0.98,0.88,1.0,0.0,0.99,0.98,1.0,1.0,0.91,1.0
phet.csv,0.78,0.76,0.0,0.88,0.87,1.0,0.24,0.93,1.0,0.52,0.74,0.58
sandiaportals.csv,0.83,0.51,0.59,0.47,0.55,1.0,0.98,0.65,0.0,0.38,0.26,0.7
sumatrapdf.csv,0.89,0.77,0.55,0.63,0.0,1.0,0.53,0.49,0.28,0.55,0.26,1.0
