,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.66,0.64,0.0,0.47,0.35,0.43,0.16,0.4,0.62,1.0,0.27,0.42
delphilhlplib.csv,1.0,0.72,0.32,0.52,0.66,0.89,0.09,0.35,0.85,0.25,0.52,0.56
factor.csv,0.36,0.52,0.03,0.41,0.57,0.11,0.13,0.22,0.76,0.33,0.99,0.61
fceugc.csv,0.41,0.67,0.06,0.95,0.48,0.53,0.09,0.07,0.56,0.32,0.3,0.07
fltk.csv,0.38,0.91,0.12,0.57,0.65,0.2,0.1,0.0,0.64,0.3,0.51,0.43
jstock.csv,0.67,0.43,0.12,0.28,0.12,0.28,0.04,0.96,0.45,0.11,0.63,0.09
lportal.csv,0.34,0.48,0.0,0.44,0.35,0.87,0.91,0.12,0.38,0.2,0.38,0.33
natpad.csv,0.72,0.62,0.39,0.55,0.45,0.54,0.11,0.29,0.59,0.24,0.78,0.99
ogre.csv,0.79,0.7,0.39,0.51,0.53,1.0,0.08,0.36,0.85,0.25,0.72,0.57
phet.csv,0.54,0.62,0.96,0.41,0.24,0.97,0.04,0.32,0.74,0.22,0.59,0.16
sandiaportals.csv,0.75,0.77,0.22,0.51,0.58,0.58,0.08,0.39,0.99,0.27,0.66,0.59
sumatrapdf.csv,0.86,0.68,0.27,0.52,0.98,0.58,0.1,0.3,0.65,0.35,0.58,0.57
