,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.58,0.53,0.0,0.38,0.26,0.27,0.47,0.31,0.51,1.0,0.17,0.33
delphilhlplib.csv,1.0,0.94,0.61,1.0,0.61,0.82,0.88,0.62,1.0,0.42,0.46,0.88
factor.csv,0.23,0.39,0.03,0.33,0.42,0.06,0.79,0.15,0.64,0.42,0.98,0.58
fceugc.csv,0.3,0.7,0.04,0.95,0.42,0.37,0.4,0.08,0.4,0.25,0.2,0.05
fltk.csv,0.25,0.9,0.12,0.48,0.55,0.11,0.76,0.0,0.47,0.25,0.37,0.37
jstock.csv,0.51,0.29,0.09,0.19,0.06,0.16,0.03,1.0,0.3,0.08,0.49,0.05
lportal.csv,0.25,0.47,0.0,0.62,0.39,0.78,0.86,0.15,0.28,0.33,0.29,0.42
natpad.csv,0.7,0.68,0.57,0.71,0.42,0.37,0.85,0.31,0.49,0.67,0.76,0.98
ogre.csv,0.83,0.94,1.0,0.95,1.0,1.0,1.0,0.92,1.0,1.0,0.85,1.0
phet.csv,0.47,0.7,0.93,0.71,0.35,0.96,0.13,0.77,0.79,0.5,0.59,0.16
sandiaportals.csv,0.77,0.87,0.35,0.67,0.81,0.42,0.98,0.77,0.98,0.5,0.56,0.86
sumatrapdf.csv,0.98,0.82,0.43,0.81,0.97,0.42,0.7,0.46,0.53,0.92,0.46,1.0
