,id,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
57,2,1,2,2,2,1,mclient-mume.csv
52,3,2,3,7,8,8,jam-daq.csv
50,4,1,3,9,12,11,jsecurity.csv
58,5,1,1,1,2,1,matrex.csv
24,6,1,7,12,10,12,dsworkbench.csv
19,7,2,2,7,11,11,jsidplay2.csv
28,8,2,4,11,12,11,jgossipforum.csv
17,9,1,4,8,6,7,forester-atv.csv
18,11,1,0,1,1,0,atunes.csv
53,12,2,1,4,4,3,fluent-nhibernate.csv
59,14,1,2,2,5,4,gnome-jabber.csv
51,15,3,2,1,2,2,unflobtactical.csv
21,16,1,0,3,3,2,jnode.csv
26,17,3,3,4,4,5,playerstage.csv
16,18,1,4,14,14,13,cortex-vfx.csv
27,19,0,2,2,4,3,qmmp.csv
15,20,1,6,11,11,11,lportal.csv
29,21,0,5,10,10,9,jfreereport.csv
60,22,4,4,6,13,11,acegisecurity.csv
49,23,3,4,16,20,18,crux-framework.csv
25,28,1,1,5,5,4,encog-java.csv
20,29,2,4,7,8,9,geogebra.csv
39,30,0,1,2,3,2,bacnet.csv
34,31,3,4,11,16,15,taverna.csv
6,32,4,9,16,18,17,emite.csv
14,33,1,3,7,8,8,ondex.csv
7,35,1,8,12,12,12,quark.csv
33,36,1,5,9,10,9,ftm.csv
40,37,0,7,13,11,12,omseek.csv
32,38,1,13,20,16,19,reaper-ecad.csv
41,39,4,6,10,11,10,sepgsql.csv
55,40,3,4,7,13,11,owlapi.csv
46,41,3,4,6,10,9,uwom.csv
22,42,2,0,6,7,7,badtrinitycore.csv
31,43,3,5,12,13,12,etics.csv
30,44,1,3,6,7,6,genoviz.csv
23,45,1,4,12,14,13,nuttx.csv
45,46,1,4,8,10,9,liferea.csv
56,47,3,3,6,7,7,jcae.csv
47,48,2,3,2,6,5,google-web-toolkit.csv
54,49,3,2,6,5,6,m-a-d-n-e-s-s.csv
3,50,1,7,14,13,14,biodwh.csv
10,51,4,9,14,17,18,factor.csv
38,53,1,1,1,1,0,xcf.csv
37,54,8,1,2,9,8,ltp.csv
42,55,1,6,12,14,13,qcad2.csv
9,56,2,1,2,2,2,x4x.csv
5,57,3,3,17,17,18,gtad.csv
11,58,1,2,8,11,10,qedo.csv
1,59,1,0,2,2,1,jrdf.csv
13,60,2,7,14,18,17,opennms.csv
0,61,2,3,6,10,9,migen.csv
36,62,1,1,1,1,0,silvertree.csv
43,63,2,5,16,20,19,tycho.csv
44,64,4,2,2,10,9,graphmak.csv
35,65,1,4,7,7,6,mecat.csv
2,66,2,4,12,14,13,brlcad.csv
12,67,1,9,11,10,10,alembik.csv
4,68,1,11,20,19,19,customsagetv.csv
8,69,6,7,6,12,13,ogrehg.csv
48,70,2,1,3,6,5,nova.csv
