,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.82,0.57,0.97,0.6,0.49,1.06,0.73,0.87,0.66,0.2,0.7,0.46
delphilhlplib.csv,0.4,0.64,0.88,0.59,0.94,1.0,0.77,0.77,0.7,0.86,0.58,0.91
factor.csv,1.0,0.68,0.79,0.78,0.77,1.1,0.76,0.92,0.43,0.89,0.23,0.62
fceugc.csv,1.0,0.74,0.54,0.46,0.64,0.93,0.92,0.81,0.86,0.59,0.76,1.0
fltk.csv,0.61,0.42,0.63,0.59,0.42,1.04,0.89,0.79,0.28,0.68,0.31,0.71
jstock.csv,0.94,0.71,0.87,0.66,0.77,0.77,0.69,0.27,0.51,0.69,0.45,0.73
lportal.csv,0.94,0.92,0.99,1.0,0.9,1.0,0.35,1.0,0.92,1.0,0.98,0.81
natpad.csv,1.0,0.9,0.85,0.75,0.32,1.2,0.69,0.47,0.33,0.75,0.48,0.42
ogre.csv,0.81,0.65,0.7,0.82,0.92,0.06,0.73,0.87,0.85,0.65,1.07,0.76
phet.csv,0.72,0.96,0.44,0.89,1.06,0.09,0.99,0.89,1.13,0.93,0.85,0.97
sandiaportals.csv,0.68,0.58,0.84,0.6,0.47,1.01,0.81,0.55,0.28,0.78,0.31,0.46
sumatrapdf.csv,1.0,0.85,0.93,0.8,0.32,1.08,0.99,0.65,0.39,0.85,0.74,0.44
