,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.84,0.51,0.8,0.6,0.3,0.51,0.68,0.61,0.84,0.84,0.6,0.29,0.46,0.26,0.83,0.3,0.0,0.88
ardour.csv,0.91,0.61,0.83,0.43,0.48,0.62,0.6,0.77,0.72,0.91,0.26,0.27,0.61,0.28,0.86,0.33,0.59,0.91
bacnet.csv,0.67,0.56,0.86,0.52,0.49,0.59,0.61,0.67,0.67,0.62,0.25,0.25,0.7,0.3,0.68,0.31,0.55,0.88
cortex-vfx.csv,0.88,0.67,0.8,0.38,0.33,0.49,0.62,0.76,0.65,0.98,0.25,0.29,0.67,0.4,0.75,0.37,0.7,0.9
enzo.csv,0.73,0.49,0.78,0.38,0.35,0.45,0.54,0.6,0.56,0.94,0.21,0.21,0.45,0.28,0.57,0.24,0.42,0.77
growl-for-windows.csv,0.87,0.0,0.0,0.5,0.36,0.62,0.56,0.0,0.69,1.0,0.21,0.0,0.71,0.0,0.84,1.0,0.63,0.81
heekscad.csv,0.83,0.68,0.91,0.44,0.52,0.69,0.7,0.7,0.71,0.93,0.25,0.29,0.73,0.31,0.65,0.3,0.59,0.8
minig.csv,0.54,0.4,0.73,0.34,0.6,0.41,0.49,0.48,0.48,0.76,0.1,0.18,0.41,0.19,0.54,0.09,0.4,0.83
multitude.csv,0.74,0.49,0.8,0.31,0.35,0.56,0.55,0.58,0.73,0.83,0.23,0.23,0.52,0.23,0.74,0.26,0.46,0.81
natpad.csv,0.69,0.46,0.83,0.41,0.48,0.61,0.65,0.6,0.65,0.75,0.26,0.23,0.52,0.26,0.54,0.23,0.62,0.96
open-ms.csv,0.76,0.73,0.82,0.5,0.42,0.39,0.74,0.69,0.62,1.0,0.27,0.26,0.47,0.24,0.86,0.31,0.6,0.77
planeshift.csv,0.65,0.46,0.85,0.42,0.39,0.53,0.52,0.55,0.53,0.79,0.18,0.21,0.47,0.22,0.7,0.25,0.49,0.75
rocrail.csv,0.77,0.63,0.82,0.39,0.37,0.67,0.62,0.64,0.62,0.93,0.17,0.23,0.53,0.25,0.59,0.49,0.52,0.72
salasaga.csv,0.68,0.52,0.81,0.43,0.49,0.57,0.71,0.61,0.72,0.67,0.27,0.28,0.58,0.28,0.64,0.3,0.54,0.84
xcsoar.csv,0.83,0.72,0.89,0.44,0.45,0.63,0.59,0.72,0.68,0.94,0.21,0.26,0.64,0.29,0.74,0.36,0.52,0.84
xemeiah.csv,0.71,0.51,0.85,0.36,0.39,0.7,0.52,0.64,0.73,0.75,0.22,0.23,0.56,0.21,0.61,0.35,0.54,0.86
xmoto.csv,0.91,0.71,0.86,0.75,0.5,0.56,0.73,0.69,0.63,0.0,0.16,0.34,0.68,0.39,0.5,0.27,0.67,0.43
zxing.csv,0.84,0.54,0.9,0.0,0.44,0.71,0.63,0.72,0.84,0.91,0.44,0.28,0.76,0.31,0.88,0.41,0.73,0.93
