,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.39,0.83,0.45,0.46,0.49,0.87,0.63,0.56,0.21,0.38,0.7,0.32,0.98,0.35,0.08,0.38,0.0,0.21
alsa.csv,0.47,0.83,0.57,0.35,0.53,0.87,0.72,0.59,0.16,0.48,0.81,0.62,0.98,0.36,0.11,0.41,0.0,0.33
boost.csv,0.43,0.82,0.59,0.38,0.69,0.92,0.7,0.77,0.1,0.55,0.92,0.46,0.97,0.38,0.1,0.57,0.09,0.28
fmri-dmt.csv,0.41,0.82,0.45,0.47,0.41,0.88,0.6,0.25,0.04,0.36,0.65,0.28,0.98,0.35,0.32,0.33,0.0,0.15
genecys.csv,0.31,0.79,0.33,0.2,0.48,0.94,0.52,0.46,0.07,0.38,0.69,0.28,0.93,0.27,0.09,0.34,0.08,0.38
gusanos.csv,0.5,0.92,0.5,0.4,0.5,0.9,0.71,0.51,0.16,0.36,0.9,0.55,0.98,0.39,0.08,0.49,0.0,0.3
hatari.csv,0.38,0.74,0.62,0.33,0.49,0.88,0.68,0.47,0.07,0.41,0.71,0.34,0.96,0.42,0.09,0.46,0.12,0.3
n2cms.csv,0.62,0.82,0.48,0.22,0.47,0.88,0.7,0.55,0.09,0.59,0.74,0.4,0.96,0.37,0.09,0.52,0.1,0.3
nug.csv,0.4,0.82,0.45,0.54,0.49,0.76,0.63,0.45,0.07,0.26,0.71,0.31,0.98,0.36,0.07,0.5,0.1,0.2
nuttx.csv,0.78,0.87,0.44,0.3,0.6,1.0,0.62,0.58,0.17,0.35,0.74,0.57,0.98,0.25,0.09,0.47,0.04,0.2
proftp.csv,1.0,0.0,1.0,0.24,0.58,0.94,0.56,0.71,0.1,0.59,0.69,0.34,1.0,0.54,0.1,0.58,0.18,0.49
pydev.csv,0.52,0.96,0.67,0.36,0.71,0.92,0.78,0.71,0.08,0.52,0.81,0.47,0.82,0.54,0.1,0.75,0.12,0.53
tcl.csv,0.36,0.81,0.39,0.29,0.64,0.84,0.88,0.46,0.07,0.59,0.58,0.24,0.86,0.31,0.09,0.46,0.07,0.0
truevision.csv,0.64,1.0,0.67,0.24,0.0,0.91,0.82,0.58,0.2,0.55,0.93,0.64,0.97,0.56,0.12,0.58,0.03,0.37
uclmda.csv,0.0,0.89,0.0,0.0,0.0,0.5,0.27,0.31,0.0,0.17,0.6,0.2,1.0,0.12,0.0,0.36,0.0,0.06
uwom.csv,0.41,0.85,0.41,0.64,0.0,1.0,0.83,0.5,0.11,0.48,0.89,0.73,0.97,0.41,0.14,0.41,0.06,0.48
wxjs.csv,0.12,1.0,0.0,0.0,1.0,0.0,0.78,0.53,0.0,0.0,0.6,0.2,1.0,0.43,0.05,1.0,0.31,0.0
wxstudio.csv,0.44,0.84,0.48,0.22,0.46,0.69,0.65,0.33,0.08,0.32,0.67,0.26,0.99,0.36,0.12,0.69,0.11,0.11
