,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.19,0.41,0.33,0.11,0.81,0.64,0.31,0.51,0.08,0.44,0.07,0.23,0.57,0.48,0.11,0.52,0.02,0.41
ardour.csv,0.11,0.41,0.41,0.31,0.41,0.28,0.34,0.35,0.19,0.24,0.23,0.35,0.36,0.53,0.11,0.6,0.33,0.29
bacnet.csv,0.55,0.48,0.26,0.28,0.3,0.4,0.09,0.44,0.14,0.6,0.35,0.25,0.18,0.36,0.39,0.35,0.27,0.0
cortex-vfx.csv,0.11,0.18,0.24,0.46,0.2,0.32,0.14,0.3,0.25,0.12,0.34,0.43,0.27,0.25,0.06,0.44,0.17,0.18
enzo.csv,0.51,0.68,0.7,0.85,1.0,0.88,0.89,0.72,0.85,0.28,0.64,0.88,0.89,0.53,0.94,0.92,0.84,1.0
growl-for-windows.csv,0.13,0.0,0.0,0.04,0.27,0.15,0.4,0.0,0.12,0.0,0.33,0.0,0.11,0.0,0.11,0.01,0.2,0.53
heekscad.csv,0.28,0.24,0.28,0.49,0.54,0.36,0.4,0.41,0.34,0.08,0.38,0.44,0.27,0.43,0.44,0.64,0.48,0.24
minig.csv,0.91,0.9,0.89,0.97,0.29,0.94,0.8,0.87,0.92,0.96,0.87,0.77,0.93,0.72,0.67,0.65,1.0,0.65
multitude.csv,0.32,0.51,0.37,0.72,1.0,0.58,0.86,0.77,0.29,1.0,0.36,0.67,0.57,0.9,0.72,0.72,0.64,0.82
natpad.csv,0.43,0.66,0.37,0.39,0.3,0.5,0.14,0.58,0.14,0.76,0.48,0.39,0.25,0.29,0.44,0.46,0.33,0.0
open-ms.csv,0.09,0.17,0.41,0.16,0.13,0.29,0.23,0.21,0.22,0.0,0.11,0.34,0.5,0.56,0.22,0.5,0.08,0.71
planeshift.csv,0.7,0.83,0.3,0.81,0.38,0.79,0.57,0.93,0.47,0.88,1.0,0.86,0.57,0.98,0.61,0.74,0.41,0.82
rocrail.csv,0.28,0.2,0.37,0.32,0.78,0.31,0.26,0.51,0.25,0.08,0.62,0.5,0.2,0.5,0.44,0.26,0.33,0.94
salasaga.csv,0.55,0.63,0.33,0.24,0.32,0.55,0.14,0.54,0.14,0.6,0.29,0.31,0.23,0.39,0.5,0.45,0.25,0.0
xcsoar.csv,0.23,0.25,0.11,0.32,0.59,0.26,0.49,0.45,0.27,0.2,0.25,0.43,0.25,0.47,0.67,0.49,0.45,0.35
xemeiah.csv,0.55,0.66,0.35,0.5,0.7,0.28,0.51,0.46,0.08,0.68,0.52,0.44,0.52,0.62,0.44,0.48,0.5,0.41
xmoto.csv,0.11,0.25,0.28,0.15,0.29,0.56,0.37,0.38,0.46,0.0,0.77,0.35,0.23,0.17,0.28,0.75,0.45,0.24
zxing.csv,0.19,0.56,0.35,0.04,0.51,0.41,0.26,0.49,0.15,0.28,0.25,0.42,0.16,0.6,0.11,0.39,0.2,0.18
