,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.1,0.15,0.2,0.11,0.11,0.18,0.08,0.0,0.17,0.3,0.33,0.29,0.24,0.08,0.12,0.16,0.19,0.31
bacula.csv,0.02,0.33,0.4,0.36,0.48,0.46,0.28,0.68,0.42,0.4,0.56,0.5,0.31,0.65,0.68,0.4,0.44,0.53
blue-c.csv,0.51,0.53,0.29,0.74,0.51,0.58,0.0,0.74,0.86,0.64,0.33,0.38,0.51,0.43,0.62,0.42,0.72,0.56
enlightenment.csv,0.41,0.31,0.43,0.21,0.3,0.0,0.24,0.39,0.36,0.33,0.33,0.33,0.49,0.49,0.61,0.33,0.53,0.53
fltk.csv,0.1,0.01,0.14,0.28,0.23,0.18,0.04,0.39,0.3,0.19,0.56,0.17,0.35,0.2,0.51,0.05,0.49,0.16
freewrl.csv,0.41,0.43,0.66,0.09,0.47,0.3,0.08,0.4,0.33,0.41,0.44,0.0,0.59,0.58,0.64,0.44,0.35,0.4
genecys.csv,0.78,0.76,0.63,0.91,0.68,0.67,0.48,0.76,0.67,0.73,0.0,0.46,0.92,0.82,0.9,0.71,0.89,0.78
genoviz.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.02
gzigzag.csv,0.04,0.03,0.0,0.02,0.0,0.1,0.0,0.02,0.06,0.08,0.22,0.08,0.02,0.18,0.04,0.07,0.04,0.16
jparsec.csv,0.71,0.74,0.97,0.21,0.33,0.67,0.72,0.44,0.52,0.67,0.44,0.04,0.57,0.68,0.0,0.24,0.41,0.58
lportal.csv,0.43,0.63,0.49,0.0,0.46,0.69,0.64,0.15,0.49,0.74,0.0,0.71,0.29,0.33,0.0,0.2,0.0,0.38
ogrehg.csv,0.35,0.32,0.66,0.02,0.26,0.49,0.52,0.34,0.31,0.0,0.44,0.33,0.22,0.34,0.19,0.15,0.46,0.49
patterntesting.csv,0.37,0.25,0.37,0.02,0.51,0.28,0.16,0.49,0.36,0.2,0.56,0.5,0.39,0.35,0.36,0.2,0.46,0.38
pfaedit.csv,0.33,0.18,0.0,0.09,0.2,0.16,0.2,0.3,0.21,0.29,0.33,0.04,0.2,0.42,0.2,0.02,0.23,0.51
pgui.csv,0.22,0.25,0.31,0.34,0.33,0.44,0.12,0.54,0.57,0.48,0.78,0.38,0.29,0.01,0.41,0.33,0.33,0.31
roller.csv,0.04,0.4,0.29,0.53,0.54,0.12,0.36,0.15,0.15,0.36,0.33,0.08,0.0,0.06,0.61,0.29,0.53,0.49
sylpheed-claws.csv,0.47,0.38,0.43,0.3,0.54,0.36,0.28,0.34,0.02,0.33,0.44,0.29,0.37,0.37,0.43,0.22,0.56,0.53
xbg.csv,0.06,0.03,0.03,0.06,0.02,0.02,0.0,0.04,0.13,0.1,0.0,0.04,0.02,0.01,0.0,0.0,0.05,0.11
