,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.47,0.61,0.63,0.85,0.9,0.67,0.45,0.59,0.64,0.61,0.75,0.65,0.69,0.63,0.79,0.54,0.88,0.51
ardour.csv,0.52,0.45,0.55,0.63,0.58,0.65,0.52,0.46,0.61,0.49,0.58,0.59,0.51,0.57,0.76,0.6,0.51,0.45
bacnet.csv,0.62,0.51,0.48,0.51,0.66,0.46,0.74,0.53,0.72,0.95,0.55,0.61,0.58,0.57,0.75,0.42,0.5,0.88
cortex-vfx.csv,0.66,0.6,0.72,0.64,0.77,0.66,0.72,0.51,0.64,0.58,0.52,0.56,0.5,0.55,0.84,0.45,0.52,0.53
enzo.csv,0.54,0.71,0.74,0.86,1.0,0.91,0.89,0.74,0.85,0.33,0.7,0.89,0.9,0.57,1.0,0.93,0.86,1.0
growl-for-windows.csv,0.53,1.0,1.0,0.92,0.68,0.59,0.46,1.0,0.63,0.96,0.51,1.0,0.59,0.99,0.38,0.91,0.49,0.57
heekscad.csv,0.38,0.4,0.54,0.61,0.59,0.57,0.54,0.49,0.51,0.61,0.46,0.56,0.41,0.52,0.69,0.64,0.55,0.74
minig.csv,0.98,0.98,0.94,0.97,0.39,0.99,0.87,0.97,0.96,1.02,0.96,0.85,0.98,0.85,0.79,1.08,1.0,0.71
multitude.csv,0.36,0.59,0.58,0.75,1.0,0.61,0.86,0.78,0.44,1.0,0.44,0.73,0.65,0.9,0.85,0.74,0.67,0.85
natpad.csv,0.49,0.68,0.49,0.54,0.57,0.52,0.75,0.6,0.71,0.92,0.5,0.58,0.51,0.62,0.78,0.47,0.38,0.84
open-ms.csv,0.68,0.53,0.57,0.78,0.71,0.83,0.67,0.53,0.71,0.78,0.62,0.55,0.63,0.64,0.78,0.53,0.82,0.76
planeshift.csv,0.73,0.83,0.44,0.81,0.53,0.8,0.73,0.93,0.6,0.89,1.0,0.86,0.65,0.98,0.77,0.74,0.48,0.84
rocrail.csv,0.47,0.46,0.49,0.62,0.8,0.61,0.66,0.56,0.6,0.58,0.67,0.64,0.59,0.61,0.73,0.3,0.43,1.0
salasaga.csv,0.6,0.66,0.45,0.51,0.57,0.57,0.75,0.57,0.72,0.98,0.41,0.6,0.6,0.63,0.79,0.49,0.47,0.8
xcsoar.csv,0.4,0.4,0.51,0.66,0.64,0.61,0.55,0.52,0.48,0.47,0.56,0.66,0.49,0.56,0.69,0.49,0.53,0.53
xemeiah.csv,0.64,0.67,0.48,0.64,0.72,0.37,0.65,0.51,0.68,0.86,0.55,0.61,0.56,0.72,0.54,0.48,0.51,0.46
xmoto.csv,0.48,0.47,0.58,0.75,0.6,0.61,0.67,0.48,0.59,0.94,0.79,0.59,0.36,0.7,0.83,0.75,0.54,0.87
zxing.csv,0.46,0.61,0.5,0.79,0.67,0.53,0.66,0.55,0.59,0.51,0.53,0.62,0.5,0.68,0.79,0.4,0.49,0.29
