,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.68,0.53,0.59,0.23,0.41,0.62,0.69,0.66,0.51,0.69,0.3,0.34,0.53,0.36,0.35,0.46,0.2,0.76
ardour.csv,0.63,0.69,0.72,0.44,0.51,0.48,0.63,0.71,0.52,0.7,0.34,0.36,0.61,0.42,0.38,0.46,0.58,0.76
bacnet.csv,0.7,0.68,0.71,0.54,0.43,0.69,0.39,0.69,0.41,0.37,0.32,0.37,0.53,0.39,0.46,0.51,0.59,0.22
cortex-vfx.csv,0.5,0.52,0.46,0.45,0.32,0.47,0.41,0.64,0.5,0.59,0.35,0.38,0.61,0.42,0.28,0.52,0.58,0.64
enzo.csv,0.77,0.59,0.77,0.5,0.52,0.55,0.71,0.68,0.69,0.88,0.27,0.33,0.58,0.43,0.62,0.37,0.55,0.84
growl-for-windows.csv,0.62,0.0,0.0,0.14,0.4,0.54,0.72,0.0,0.52,0.08,0.35,0.0,0.54,0.03,0.75,0.16,0.6,0.81
heekscad.csv,0.78,0.68,0.66,0.49,0.58,0.56,0.63,0.71,0.64,0.56,0.39,0.39,0.68,0.43,0.56,0.45,0.6,0.44
minig.csv,0.59,0.45,0.71,0.51,0.66,0.49,0.55,0.51,0.56,0.69,0.19,0.28,0.49,0.26,0.61,0.08,0.57,0.75
multitude.csv,0.83,0.6,0.66,0.48,0.53,0.64,0.69,0.7,0.69,0.88,0.4,0.33,0.58,0.37,0.58,0.38,0.58,0.78
natpad.csv,0.75,0.63,0.76,0.53,0.51,0.71,0.38,0.74,0.43,0.58,0.38,0.37,0.6,0.36,0.46,0.51,0.71,0.28
open-ms.csv,0.47,0.58,0.7,0.31,0.4,0.29,0.47,0.61,0.42,0.35,0.39,0.39,0.55,0.37,0.37,0.45,0.29,0.74
planeshift.csv,0.73,0.64,0.77,0.56,0.55,0.66,0.53,0.71,0.61,0.84,0.26,0.35,0.58,0.34,0.58,0.4,0.63,0.81
rocrail.csv,0.7,0.64,0.75,0.45,0.54,0.52,0.48,0.71,0.55,0.59,0.29,0.34,0.52,0.38,0.51,0.61,0.65,0.68
salasaga.csv,0.74,0.63,0.77,0.55,0.51,0.68,0.38,0.73,0.41,0.33,0.43,0.36,0.52,0.35,0.47,0.47,0.61,0.33
xcsoar.csv,0.74,0.69,0.65,0.41,0.55,0.51,0.67,0.7,0.65,0.71,0.34,0.32,0.62,0.41,0.75,0.51,0.6,0.71
xemeiah.csv,0.67,0.64,0.75,0.47,0.54,0.73,0.58,0.73,0.46,0.57,0.35,0.35,0.66,0.33,0.72,0.5,0.67,0.82
xmoto.csv,0.67,0.63,0.63,0.34,0.48,0.64,0.5,0.7,0.62,0.11,0.27,0.37,0.72,0.33,0.33,0.41,0.59,0.26
zxing.csv,0.69,0.62,0.73,0.33,0.46,0.62,0.48,0.7,0.55,0.7,0.36,0.34,0.61,0.36,0.35,0.55,0.6,0.84
