,nug.csv,rezilla.csv,badtrinity-zero.csv,fltk.csv,betoffice.csv,xmemcached.csv,exordium.csv,toped.csv,apertium.csv,gabel.csv,irrlicht.csv,zoolib.csv,genoviz.csv
apertium.csv,0.0,0.37,0.0,0.0,0.39,0.36,0.41,0.0,0.86,0.44,0.0,0.0,0.42
badtrinity-zero.csv,0.36,0.57,0.44,0.43,0.4,0.47,0.44,0.28,0.42,0.48,0.45,0.53,0.35
betoffice.csv,0.0,0.39,0.0,0.0,0.61,0.5,0.83,0.0,0.88,0.78,0.0,0.0,0.8
exordium.csv,0.0,0.73,0.0,0.0,0.59,0.82,0.81,0.0,0.0,0.5,0.0,0.0,0.75
fltk.csv,0.38,0.36,0.44,0.42,0.39,0.39,0.41,0.32,0.41,0.46,0.44,0.48,0.32
gabel.csv,0.0,0.36,0.0,0.0,0.4,0.8,0.74,0.0,0.0,0.86,0.0,0.0,0.0
genoviz.csv,0.0,0.35,0.0,0.0,0.35,0.35,0.45,0.0,0.0,0.38,0.0,0.0,0.8
irrlicht.csv,0.38,0.36,0.44,0.42,0.39,0.39,0.41,0.32,0.41,0.46,0.44,0.48,0.32
nug.csv,0.86,0.38,0.0,0.0,0.52,0.42,0.42,0.6,0.44,0.52,0.0,0.9,0.41
rezilla.csv,0.38,0.71,0.44,0.42,0.94,0.61,0.79,0.32,0.41,0.54,0.44,0.48,0.32
toped.csv,0.4,0.5,0.44,0.42,0.5,0.88,0.83,0.33,0.8,0.95,0.44,0.48,0.75
xmemcached.csv,0.0,0.34,0.0,0.0,0.44,0.72,0.59,0.0,0.0,0.62,0.0,0.0,0.0
zoolib.csv,0.8,0.36,0.0,0.0,0.39,0.39,0.42,0.48,0.42,0.47,0.0,0.0,0.38
