,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.38,0.71,0.36,0.35,0.41,0.59,0.36,0.46,0.33,0.46,0.33,0.42,0.38,0.37
flylinkdc.csv,0.54,0.45,0.48,0.37,0.52,0.42,0.36,0.46,0.5,0.43,0.53,0.49,0.51,0.58
grisbi.csv,0.42,0.43,0.45,0.33,0.43,0.32,0.35,0.36,0.29,0.36,0.37,0.45,0.38,0.37
jaolt.csv,0.42,0.53,0.47,0.31,0.42,0.36,0.36,0.37,0.28,0.47,0.46,0.44,0.42,0.38
maidsafe-dht.csv,0.87,0.68,0.57,0.35,0.48,0.33,0.43,0.35,0.3,0.47,0.0,0.6,0.62,0.35
mimosa.csv,0.54,0.38,0.47,0.39,0.59,0.33,0.41,0.56,0.59,0.42,0.37,0.51,0.41,0.53
n2cms.csv,0.38,0.56,0.38,0.34,0.48,0.46,0.36,0.4,0.27,0.42,0.82,0.43,0.4,0.34
nassp.csv,0.87,0.94,0.91,0.56,0.57,0.86,0.52,0.78,0.68,0.93,0.5,0.54,0.92,0.67
nug.csv,0.6,0.44,0.93,0.67,0.96,0.43,0.5,0.49,0.0,0.45,0.92,0.67,0.7,0.49
quantlib.csv,0.36,0.75,0.0,0.37,0.61,0.67,0.36,0.0,0.35,0.0,0.0,0.0,0.68,0.0
red5.csv,0.37,0.38,0.41,0.39,0.44,0.49,0.36,0.35,0.47,0.34,0.35,0.42,0.35,0.37
super-tux.csv,0.37,0.56,0.43,0.46,0.46,0.46,0.47,0.42,0.48,0.37,0.36,0.43,0.35,0.32
tcvp.csv,0.67,0.83,0.5,0.0,0.94,0.5,0.67,0.0,0.0,0.5,0.75,0.0,0.5,0.67
zxing.csv,0.44,0.48,0.41,0.36,0.42,0.79,0.37,0.38,0.42,0.43,0.45,0.44,0.68,0.41
