,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.79,0.56,0.77,0.57,0.46,1.05,0.71,0.79,0.68,0.3,0.73,0.44
delphilhlplib.csv,0.37,0.6,0.8,0.58,0.68,1.0,0.55,0.54,0.7,0.74,0.51,0.82
factor.csv,1.0,0.89,0.87,1.0,0.52,1.0,0.59,1.0,1.0,0.69,0.15,0.51
fceugc.csv,0.89,0.64,0.58,0.55,0.6,1.02,0.93,0.87,0.75,0.57,0.7,1.0
fltk.csv,0.64,0.41,0.68,0.58,0.45,1.02,0.87,0.72,0.3,0.64,0.39,0.68
jstock.csv,1.0,0.72,0.87,0.77,0.77,0.79,0.64,0.26,0.64,0.72,0.58,0.66
lportal.csv,0.94,0.92,0.99,1.0,0.87,1.0,0.34,1.0,0.92,1.0,0.98,0.79
natpad.csv,0.73,0.74,0.86,0.68,0.5,0.89,0.67,0.74,0.52,0.78,0.4,0.4
ogre.csv,0.81,0.65,0.7,0.8,0.92,0.05,0.72,0.87,0.85,0.65,1.07,0.76
phet.csv,0.69,0.96,0.46,0.88,1.06,0.13,0.99,0.85,1.15,0.94,0.94,0.98
sandiaportals.csv,0.72,0.44,0.8,0.65,0.42,0.98,0.83,0.56,0.28,0.75,0.36,0.47
sumatrapdf.csv,1.0,0.88,0.95,0.8,0.36,1.11,1.0,0.81,0.34,0.93,0.61,0.43
