,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.28,0.78,0.3,0.57,0.55,0.07,0.65,0.23,0.32,0.83,0.29,0.67
delphilhlplib.csv,0.85,0.41,0.38,0.52,0.32,0.14,0.77,0.46,0.3,0.33,0.54,0.19
factor.csv,0.0,0.13,0.13,0.0,0.52,0.0,0.64,0.0,0.0,0.33,0.93,0.58
fceugc.csv,0.94,0.53,0.65,0.52,0.42,0.11,0.35,0.31,0.26,0.5,0.9,0.0
fltk.csv,0.49,0.7,0.62,0.57,0.55,0.11,0.93,0.31,0.7,0.5,0.71,0.35
jstock.csv,1.0,0.3,0.17,0.29,0.23,0.39,0.44,0.85,0.36,0.33,0.44,0.35
lportal.csv,0.06,0.08,0.01,0.0,0.13,0.0,0.72,0.0,0.08,0.0,0.02,0.21
natpad.csv,0.3,0.78,0.42,0.52,0.58,0.26,0.84,0.31,0.53,0.67,0.8,0.74
ogre.csv,0.64,0.58,0.45,0.71,0.58,0.95,0.62,0.85,0.66,0.58,0.27,0.72
phet.csv,0.4,0.12,0.62,0.38,0.35,0.87,0.01,0.69,0.43,0.08,0.49,0.16
sandiaportals.csv,0.98,0.75,0.48,0.57,0.61,0.16,0.99,0.46,0.77,0.42,0.76,0.72
sumatrapdf.csv,0.98,0.96,0.91,0.86,0.68,0.52,1.0,1.0,0.7,1.0,0.93,0.81
