,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.33,0.51,0.33,0.37,0.07,0.5,0.62,0.19,0.0,0.25,0.17,0.3
delphilhlplib.csv,0.33,0.15,0.5,0.33,0.05,0.5,0.5,0.07,0.0,0.31,0.22,0.08
factor.csv,0.0,0.17,0.08,0.02,0.2,0.0,0.46,0.05,0.0,0.18,0.13,0.3
fceugc.csv,0.89,0.43,0.46,0.28,0.15,0.5,0.66,0.53,0.17,0.28,0.7,0.0
fltk.csv,0.39,0.28,0.57,0.4,0.05,0.5,0.87,0.21,0.0,0.39,0.26,0.19
jstock.csv,1.0,0.19,0.27,0.28,0.02,0.5,0.32,0.21,0.0,0.27,0.13,0.11
lportal.csv,0.0,0.05,0.02,0.02,0.0,0.0,0.18,0.0,0.0,0.01,0.0,0.05
natpad.csv,0.22,0.71,0.63,0.49,0.27,0.5,0.65,0.26,0.22,0.7,0.35,0.31
ogre.csv,0.72,0.49,0.43,0.74,0.82,0.0,0.61,0.86,0.78,0.49,0.78,0.7
phet.csv,0.33,0.38,0.26,0.63,0.84,0.0,0.03,0.79,1.0,0.23,0.78,0.52
sandiaportals.csv,0.72,0.36,0.61,0.49,0.16,0.5,0.83,0.16,0.17,0.48,0.26,0.38
sumatrapdf.csv,1.0,0.88,0.94,0.79,0.16,1.0,1.0,0.81,0.17,0.93,0.61,0.39
