,delphilhlplib.csv,fltk.csv,phet.csv,fceugc.csv,sumatrapdf.csv,ogre.csv,lportal.csv,jstock.csv,sandiaportals.csv,biodwh.csv,factor.csv,natpad.csv
biodwh.csv,0.71,0.67,0.23,0.43,0.81,0.89,0.04,0.27,1.0,0.36,0.75,0.6
delphilhlplib.csv,0.88,0.79,0.19,0.44,0.77,0.94,0.06,0.67,1.0,0.15,0.81,0.62
factor.csv,0.0,0.5,0.35,0.0,0.59,0.0,0.06,0.0,0.0,0.24,0.93,0.57
fceugc.csv,0.76,0.62,0.31,0.48,0.62,0.92,0.02,0.15,0.82,0.23,0.7,0.0
fltk.csv,0.79,0.77,0.26,0.41,0.85,0.92,0.04,0.31,1.0,0.18,0.83,0.56
jstock.csv,0.75,0.68,0.17,0.33,0.88,0.98,0.06,0.55,1.0,0.17,0.86,0.68
lportal.csv,1.0,0.69,0.2,0.0,1.0,1.0,0.15,0.0,1.0,0.0,1.0,0.75
natpad.csv,0.8,0.59,0.17,0.34,0.55,0.97,0.05,0.27,0.88,0.14,0.8,0.62
ogre.csv,0.72,0.61,0.24,0.32,0.29,1.0,0.04,0.23,0.71,0.17,0.38,0.41
phet.csv,0.78,0.29,0.43,0.23,0.19,1.0,0.02,0.21,0.56,0.06,0.53,0.18
sandiaportals.csv,0.8,0.73,0.2,0.36,0.68,0.95,0.05,0.46,0.93,0.13,0.84,0.56
sumatrapdf.csv,0.74,0.59,0.23,0.35,0.7,0.97,0.04,0.27,0.92,0.15,0.73,0.58
