,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
cataclysmos.csv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.24,0.86,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.72
exl.csv,0.0,0.3,0.33,0.0,0.53,0.36,0.09,0.0,0.72,0.0,0.0,0.23,0.46,0.0,0.57,0.27,0.91,0.54
ildjit.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
konversation.csv,0.0,0.72,0.43,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0
ltp.csv,0.65,0.0,0.0,0.0,0.0,0.26,0.0,0.36,0.0,0.38,0.45,0.0,0.3,0.54,0.24,0.2,0.0,0.0
mcmc-jags.csv,0.0,0.64,0.73,0.0,0.37,0.89,0.6,0.0,0.71,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.06,0.37
micomt.csv,0.17,0.57,0.62,0.0,0.63,0.57,0.62,0.17,0.51,0.1,0.83,0.16,0.74,0.73,0.47,0.68,0.68,0.05
migen.csv,0.0,0.59,0.5,0.0,0.79,0.44,0.17,0.0,0.55,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.2,0.77
moviesandbox.csv,0.0,0.62,0.76,0.0,0.0,0.61,0.17,0.0,0.42,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0
nebuladevice.csv,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.37
opengs.csv,0.0,0.69,0.63,0.0,0.39,0.79,0.17,0.0,0.83,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.15,0.66
openxava.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.43,0.23,0.65,0.31
passwordsafe.csv,0.01,0.59,0.0,0.0,0.32,0.52,0.24,0.37,0.0,0.0,0.51,0.73,0.17,0.1,0.64,0.65,0.59,0.24
phonon-vlc-mplayer.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.71,0.0,0.0,0.0,0.35,0.6,0.0,0.0
sepgsql.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tcl.csv,0.11,0.63,0.53,0.0,0.62,0.31,0.67,0.24,0.66,0.59,0.04,0.23,0.62,0.27,0.6,0.43,0.28,0.71
unflobtactical.csv,0.0,0.69,0.59,0.0,0.4,0.16,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.05
