,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.98,0.97,1.0,0.89,0.95,0.97,0.95,0.55,0.08,0.92,0.99,0.87,1.01,0.97,1.0,0.84,1.0,0.84
alsa.csv,0.63,0.77,0.53,0.51,0.98,0.57,0.03,0.85,0.7,0.48,0.74,0.57,0.43,0.67,0.56,0.79,1.02,0.47
boost.csv,0.75,0.65,0.75,0.69,0.72,0.67,0.67,0.36,0.74,0.07,0.65,0.89,1.0,0.56,0.88,0.71,0.46,0.79
fmri-dmt.csv,0.98,0.96,1.0,1.0,1.0,0.97,0.98,1.0,1.0,0.95,0.96,1.0,1.0,0.78,0.33,1.0,1.0,0.96
genecys.csv,0.97,1.0,0.9,0.95,0.7,0.0,0.88,0.81,0.91,0.93,0.97,0.79,1.0,0.95,0.92,0.92,0.93,0.88
gusanos.csv,0.78,0.81,0.69,0.71,0.6,0.63,0.77,0.73,0.62,0.76,0.01,0.71,0.69,0.6,0.51,0.67,0.8,0.61
hatari.csv,0.65,0.72,0.07,0.63,0.74,0.77,0.66,0.62,0.68,0.7,0.78,0.51,0.55,0.52,0.51,0.86,0.71,0.54
n2cms.csv,0.04,0.71,0.64,0.89,0.86,0.8,0.77,0.76,0.76,0.83,0.63,0.69,1.03,0.52,0.49,0.53,0.74,0.75
nug.csv,0.69,0.78,0.82,0.06,0.59,0.62,0.65,0.85,0.78,0.77,0.8,0.8,1.1,0.66,0.7,0.82,0.78,0.55
nuttx.csv,0.72,0.05,0.61,0.63,0.74,0.62,0.72,0.63,0.62,0.52,0.59,0.51,0.56,0.71,0.77,0.69,0.79,0.61
proftp.csv,0.9,0.92,0.8,0.87,0.65,0.81,0.87,0.07,0.8,0.76,0.79,0.75,1.18,0.79,0.84,0.74,0.78,0.73
pydev.csv,0.7,0.77,0.86,0.96,0.87,0.96,0.67,1.0,0.94,0.89,0.88,0.68,0.88,0.03,0.73,0.88,0.65,0.85
tcl.csv,0.92,0.72,0.84,0.72,0.09,0.82,0.72,0.64,0.86,0.72,0.99,0.75,0.99,0.95,0.85,0.82,0.68,0.87
truevision.csv,0.64,0.74,0.54,0.56,0.68,0.63,0.61,0.67,0.54,0.7,0.63,0.03,0.5,0.66,0.87,0.71,0.95,0.47
uclmda.csv,0.99,0.64,0.97,0.83,1.0,0.97,0.95,0.75,0.86,0.91,0.7,0.97,0.0,0.96,1.0,0.8,1.0,0.91
uwom.csv,0.75,1.0,0.8,0.81,0.79,0.89,0.94,0.87,0.8,0.51,0.73,0.59,0.83,0.73,0.83,0.93,0.96,0.04
wxjs.csv,1.0,1.0,0.97,1.0,0.9,1.0,1.0,0.93,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.95,0.0,1.0
wxstudio.csv,0.8,0.73,0.59,0.74,0.81,0.74,0.7,0.79,0.63,0.93,0.56,0.65,0.67,0.79,0.74,0.05,0.68,0.89
