,n2cms.csv,nuttx.csv,hatari.csv,nug.csv,tcl.csv,genecys.csv,alsa.csv,proftp.csv,alpine.csv,boost.csv,gusanos.csv,truevision.csv,uclmda.csv,pydev.csv,fmri-dmt.csv,wxstudio.csv,wxjs.csv,uwom.csv
alpine.csv,0.02,0.03,0.0,0.12,0.05,0.03,0.05,0.47,0.92,0.08,0.01,0.13,0.0,0.03,0.0,0.16,0.0,0.16
alsa.csv,0.56,0.47,0.55,0.88,0.03,0.65,0.98,0.17,0.33,0.67,0.28,0.45,0.61,0.58,0.67,0.3,0.0,0.59
boost.csv,0.27,0.54,0.31,0.53,0.74,0.5,0.36,0.67,0.33,0.93,0.36,0.66,0.13,0.56,0.17,0.35,0.75,0.74
fmri-dmt.csv,0.02,0.04,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.05,0.04,0.0,0.0,0.53,0.67,0.0,0.0,0.04
genecys.csv,0.83,1.0,0.66,0.94,0.69,1.0,0.87,0.97,1.0,0.97,0.94,0.74,1.0,0.92,1.0,0.81,0.5,0.95
gusanos.csv,0.38,0.48,0.41,0.53,0.67,0.55,0.75,0.43,0.58,0.39,0.99,0.79,0.84,0.69,0.83,0.49,0.25,0.55
hatari.csv,0.46,0.53,0.93,0.41,0.54,0.47,0.48,0.43,0.42,0.36,0.28,0.71,0.56,0.61,0.83,0.32,0.5,0.53
n2cms.csv,0.96,0.64,0.69,0.41,0.9,0.21,0.81,0.27,0.58,0.17,0.48,0.61,0.21,0.64,0.67,0.54,1.0,0.38
nug.csv,0.5,0.71,0.24,0.94,0.54,0.39,0.46,0.2,0.25,0.29,0.36,0.26,0.02,0.67,0.33,0.32,0.25,0.52
nuttx.csv,0.38,0.99,0.62,0.53,0.31,0.73,0.72,0.63,0.67,0.66,0.66,0.66,0.74,0.67,0.5,0.35,0.25,0.59
proftp.csv,0.1,0.12,0.21,0.18,0.51,0.23,0.14,0.93,0.25,0.28,0.33,0.29,0.02,0.22,0.17,0.35,0.25,0.3
pydev.csv,0.33,0.28,0.14,0.06,0.72,0.05,0.36,0.0,0.08,0.11,0.12,0.42,0.18,0.97,0.33,0.14,0.38,0.15
tcl.csv,0.1,0.73,0.21,0.29,0.92,0.21,0.33,0.43,0.17,0.35,0.04,0.26,0.01,0.06,0.17,0.22,0.38,0.15
truevision.csv,0.73,0.32,0.48,0.53,0.33,0.55,0.68,0.47,0.5,0.86,0.4,0.97,0.93,0.64,0.5,0.41,0.12,0.79
uclmda.csv,0.02,0.42,0.03,0.18,0.0,0.03,0.05,0.3,0.17,0.17,0.75,0.03,1.0,0.06,0.0,0.24,0.0,0.1
uwom.csv,0.46,1.0,0.55,0.47,0.87,0.11,0.86,0.9,0.5,0.63,0.45,0.61,0.99,0.75,0.67,0.41,1.0,0.96
wxjs.csv,0.0,0.0,0.03,0.0,0.1,0.0,0.0,0.07,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.05,1.0,0.0
wxstudio.csv,0.21,0.32,0.52,0.59,0.69,0.4,0.47,0.4,0.67,0.27,0.48,0.5,0.96,0.69,0.33,0.95,0.88,0.58
