,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.67,0.27,0.66,0.45,0.7,0.49,0.38,0.38,0.72,0.49,0.4,0.66,0.57,0.63
flylinkdc.csv,0.7,0.52,0.75,0.54,0.39,0.51,0.38,0.72,0.51,0.52,0.25,0.51,0.62,0.54
grisbi.csv,0.61,0.57,0.64,0.45,0.59,0.13,0.09,0.09,0.85,0.0,0.56,0.55,0.3,0.24
jaolt.csv,0.63,0.54,0.65,0.33,0.53,0.42,0.51,0.09,0.83,0.66,0.37,0.38,0.61,0.24
maidsafe-dht.csv,0.35,0.44,0.67,0.46,0.48,0.46,0.65,0.58,0.81,0.49,0.0,0.31,0.14,0.67
mimosa.csv,0.63,0.3,0.61,0.24,0.54,0.55,0.42,0.81,0.47,0.5,0.05,0.5,0.37,0.38
n2cms.csv,0.66,0.74,0.68,0.4,0.42,0.48,0.68,0.53,0.84,0.54,0.26,0.41,0.51,0.67
nassp.csv,0.37,0.23,0.33,0.39,0.31,0.11,0.75,0.21,0.34,0.21,0.0,0.28,0.47,0.34
nug.csv,0.6,0.53,0.17,0.74,0.19,0.62,0.48,0.55,0.0,0.5,0.13,0.56,0.44,0.43
quantlib.csv,0.0,0.0,0.09,0.0,0.32,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0
red5.csv,0.62,0.17,0.62,0.38,0.57,0.68,0.0,0.0,0.24,0.57,0.17,0.89,0.45,0.67
super-tux.csv,0.26,0.39,0.68,0.6,0.5,0.57,0.67,0.38,0.0,0.57,0.13,0.93,0.43,0.65
tcvp.csv,0.04,0.07,0.09,0.0,0.12,0.06,0.0,0.0,0.0,0.01,0.69,0.01,0.0,0.05
zxing.csv,0.62,0.62,0.65,0.41,0.5,0.38,0.68,0.4,0.56,0.67,0.25,0.55,0.33,0.75
