,kdenlive.csv,jatlas.csv,m-m-m.csv,x-ray-mule.csv,jrefactory.csv,algebsql.csv,emisview.csv,opennms.csv,rohxel.csv,cuberok.csv,jgossipforum.csv,octet.csv,power-architect.csv,jchassis.csv,jas.csv,poormans.csv,opendvr.csv,synecdoche.csv,javaprofiler.csv,thedata.csv
algebsql.csv,0.55,0.0,0.73,0.94,0.28,1.0,0.3,0.24,1.0,0.42,0.03,0.0,0.8,0.09,0.0,0.22,0.23,0.33,0.67,0.11
cuberok.csv,0.75,0.16,0.79,0.46,0.66,0.39,0.31,0.27,0.83,0.96,0.03,0.11,0.83,0.0,0.04,0.35,0.31,0.48,0.71,0.0
emisview.csv,0.75,0.11,0.75,0.0,0.5,0.4,1.0,0.41,1.0,0.0,0.0,0.67,0.62,0.07,0.07,0.46,0.0,1.0,1.0,0.0
jas.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.0,0.0,0.17,0.0,0.0,0.0,1.0,0.67,0.0,0.0,1.0,0.0
jatlas.csv,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,1.0,0.0,0.0
javaprofiler.csv,0.64,0.09,0.79,0.59,0.5,0.5,0.42,0.29,0.8,0.5,0.03,0.16,0.81,0.0,0.09,0.25,0.23,0.36,0.97,0.02
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,0.0
jrefactory.csv,0.57,0.08,0.81,0.64,1.0,0.27,0.26,0.33,0.74,0.44,0.02,0.17,0.9,0.08,0.11,0.36,0.23,0.5,0.72,0.03
kdenlive.csv,1.0,0.12,0.93,0.4,0.62,0.33,0.18,0.18,0.67,0.46,0.05,0.25,0.82,0.0,0.03,0.3,0.36,0.48,0.65,0.03
m-m-m.csv,0.74,0.06,1.0,0.58,0.58,0.38,0.25,0.22,0.85,0.45,0.02,0.1,0.81,0.04,0.04,0.23,0.33,0.47,0.66,0.05
octet.csv,0.5,0.03,0.73,0.57,0.47,0.46,0.31,0.31,0.77,0.53,0.04,1.0,0.8,0.03,0.08,0.33,0.33,0.47,0.91,0.02
opendvr.csv,0.78,0.06,0.89,0.43,0.59,0.54,0.3,0.28,0.77,0.36,0.04,0.19,0.79,0.0,0.09,0.36,1.0,0.42,0.62,0.02
opennms.csv,0.48,0.12,1.0,0.67,0.73,0.21,0.36,1.0,0.82,0.43,0.06,0.17,0.82,0.0,0.0,0.25,0.15,0.31,0.67,0.17
poormans.csv,0.63,0.0,0.91,0.47,0.45,0.36,0.42,0.34,0.89,0.48,0.06,0.25,0.78,0.0,0.0,1.0,0.41,0.5,1.0,0.11
power-architect.csv,0.58,0.05,0.78,0.0,0.69,0.53,0.3,0.29,0.81,0.47,0.01,0.14,1.0,0.0,0.04,0.26,0.38,0.45,0.65,0.06
rohxel.csv,0.75,0.12,0.9,0.69,0.51,0.37,0.3,0.3,1.0,0.33,0.03,0.14,0.8,0.03,0.07,0.27,0.39,0.38,0.74,0.08
synecdoche.csv,0.63,0.0,0.8,0.46,0.45,0.54,0.16,0.23,0.8,0.5,0.01,0.09,0.9,0.0,0.05,0.27,0.27,1.0,0.58,0.02
thedata.csv,0.5,0.29,0.86,0.75,0.25,0.76,0.4,0.24,0.75,0.37,0.04,0.0,0.86,0.0,0.0,0.25,0.0,0.41,0.6,1.0
x-ray-mule.csv,0.68,0.08,1.0,1.0,0.25,0.33,0.17,0.3,0.69,0.4,0.05,0.09,0.55,0.0,0.2,0.2,0.36,0.29,0.81,0.0
