,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,0.77,0.12,0.62,0.75,0.03,0.21,0.8,0.12,0.93,0.34,1.0,0.8,0.6,0.06
flylinkdc.csv,0.0,0.22,0.23,0.31,0.15,0.17,0.3,0.12,0.0,0.48,0.11,0.2,0.29,0.24
grisbi.csv,0.64,0.76,0.63,0.83,0.54,0.9,0.93,0.9,0.0,0.93,0.74,0.2,0.76,0.76
jaolt.csv,0.4,0.46,0.38,0.53,0.21,0.41,0.43,0.6,0.0,0.0,0.22,0.2,0.43,0.47
maidsafe-dht.csv,0.09,0.15,0.0,0.06,0.38,0.14,0.15,0.43,0.07,0.17,0.24,0.2,0.26,0.18
mimosa.csv,0.9,0.62,0.72,0.53,0.59,0.45,0.83,0.05,0.86,0.72,0.72,0.8,0.58,0.24
n2cms.csv,0.18,0.0,0.2,0.17,0.08,0.24,0.17,0.14,0.07,0.21,0.01,0.0,0.19,0.06
nassp.csv,0.09,0.09,0.1,0.14,0.08,0.24,0.0,0.17,0.0,0.28,0.0,0.2,0.03,0.06
nug.csv,1.0,0.72,0.58,0.0,0.69,0.79,0.37,0.81,0.71,0.97,0.43,1.0,0.38,0.76
quantlib.csv,0.09,0.15,0.1,0.11,0.08,0.79,0.13,0.1,0.0,0.86,0.19,0.2,0.0,0.65
red5.csv,0.82,0.64,0.5,0.53,0.92,0.0,0.54,0.57,0.93,0.76,0.97,1.0,0.72,0.35
super-tux.csv,0.99,0.51,0.98,1.0,0.97,0.83,1.0,0.52,1.0,0.93,1.0,0.0,1.0,0.59
tcvp.csv,0.11,0.23,0.13,0.19,0.05,0.34,0.3,0.12,0.07,0.1,0.0,0.2,0.12,0.18
zxing.csv,0.3,0.27,0.28,0.64,0.21,0.14,0.39,0.52,0.0,0.24,0.42,0.2,0.45,0.0
