,flylinkdc.csv,n2cms.csv,maidsafe-dht.csv,nug.csv,codeblocks.csv,red5.csv,nassp.csv,mimosa.csv,grisbi.csv,jaolt.csv,tcvp.csv,super-tux.csv,quantlib.csv,zxing.csv
codeblocks.csv,1.0,0.25,0.79,0.76,0.98,0.44,0.75,0.34,0.88,0.37,1.0,0.76,0.79,0.23
flylinkdc.csv,1.0,0.29,0.57,0.41,0.28,0.42,0.75,0.37,0.35,0.64,0.0,0.2,0.42,0.36
grisbi.csv,0.84,0.77,0.86,0.59,0.73,0.93,1.0,0.89,0.98,0.96,0.78,0.62,0.88,0.93
jaolt.csv,0.68,0.56,0.57,0.53,0.44,0.49,0.75,0.79,0.56,0.97,0.22,0.37,0.38,0.62
maidsafe-dht.csv,0.32,0.12,1.0,0.06,0.46,0.14,0.33,0.26,0.06,0.4,0.33,0.15,0.17,0.29
mimosa.csv,0.84,0.69,0.64,0.82,0.72,0.53,0.5,0.97,0.86,0.81,0.67,0.91,0.58,0.46
n2cms.csv,0.22,0.94,0.43,0.35,0.16,0.26,0.25,0.39,0.23,0.38,0.0,0.14,0.04,0.32
nassp.csv,0.27,0.17,0.36,0.35,0.15,0.26,0.92,0.21,0.12,0.33,0.0,0.11,0.25,0.07
nug.csv,1.0,0.69,0.43,0.88,0.45,0.86,0.67,0.97,0.23,0.9,0.56,0.76,0.21,0.46
quantlib.csv,0.08,0.17,0.21,0.24,0.21,0.72,0.33,0.24,0.2,0.78,0.11,0.23,1.0,0.36
red5.csv,0.86,0.69,0.79,0.88,0.89,0.98,0.75,0.58,0.44,0.82,1.0,0.91,0.79,0.71
super-tux.csv,1.0,0.4,0.93,1.0,1.0,0.81,1.0,0.74,1.0,0.88,1.0,1.0,1.0,0.62
tcvp.csv,0.08,0.29,0.07,0.35,0.12,0.28,0.25,0.08,0.11,0.1,1.0,0.04,0.38,0.05
zxing.csv,0.46,0.23,0.57,0.41,0.4,0.19,0.75,0.26,0.35,0.25,0.56,0.37,0.21,0.98
