,heekscad.csv,xcsoar.csv,planeshift.csv,bacnet.csv,minig.csv,xemeiah.csv,amygdala.csv,ardour.csv,multitude.csv,enzo.csv,salasaga.csv,open-ms.csv,xmoto.csv,cortex-vfx.csv,growl-for-windows.csv,rocrail.csv,natpad.csv,zxing.csv
amygdala.csv,0.57,0.56,0.5,0.1,0.44,0.63,0.69,0.61,0.37,0.61,0.13,0.41,0.56,0.61,0.17,0.73,0.0,0.64
ardour.csv,0.45,0.75,0.64,0.46,0.47,0.42,0.43,0.68,0.37,0.65,0.57,0.55,0.62,0.68,0.2,0.78,0.56,0.72
bacnet.csv,0.6,0.72,0.59,0.6,0.55,0.69,0.33,0.66,0.38,0.28,0.67,0.46,0.57,0.64,0.45,0.71,0.69,0.15
cortex-vfx.csv,0.35,0.37,0.29,0.51,0.13,0.35,0.25,0.57,0.38,0.45,0.57,0.6,0.54,0.56,0.2,0.79,0.54,0.52
enzo.csv,0.73,0.64,0.59,0.59,0.0,0.48,0.38,0.62,0.53,0.85,0.65,0.46,0.48,0.66,0.22,0.38,0.5,0.24
growl-for-windows.csv,0.57,0.0,0.0,0.13,0.54,0.59,0.59,0.0,0.54,0.05,0.63,0.0,0.6,0.0,0.72,0.11,0.68,0.62
heekscad.csv,0.75,0.64,0.58,0.67,0.59,0.58,0.46,0.68,0.53,0.16,0.57,0.61,0.64,0.59,0.44,0.73,0.75,0.25
minig.csv,0.33,0.23,0.0,0.0,0.72,0.23,0.44,0.27,0.26,0.0,0.37,0.31,0.0,0.42,0.38,0.27,0.0,0.68
multitude.csv,0.76,0.62,0.63,0.5,0.24,0.7,0.44,0.49,0.69,0.59,0.75,0.6,0.65,0.38,0.69,0.63,0.65,0.66
natpad.csv,0.57,0.59,0.59,0.58,0.53,0.75,0.38,0.6,0.3,0.39,0.78,0.39,0.43,0.39,0.22,0.54,0.75,0.53
open-ms.csv,0.49,0.53,0.62,0.25,0.39,0.22,0.5,0.53,0.42,0.15,0.13,0.53,0.56,0.61,0.54,0.73,0.09,0.55
planeshift.csv,0.49,0.42,0.7,0.69,0.59,0.66,0.54,0.05,0.52,0.29,0.57,0.33,0.58,0.0,0.61,0.54,0.69,0.0
rocrail.csv,0.63,0.65,0.64,0.49,0.53,0.41,0.5,0.69,0.56,0.55,0.61,0.6,0.5,0.63,0.43,0.81,0.69,0.47
salasaga.csv,0.66,0.67,0.68,0.68,0.7,0.72,0.49,0.65,0.47,0.34,0.68,0.57,0.68,0.6,0.49,0.73,0.61,0.63
xcsoar.csv,0.67,0.7,0.54,0.53,0.62,0.41,0.64,0.68,0.63,0.53,0.49,0.46,0.6,0.66,0.68,0.8,0.68,0.58
xemeiah.csv,0.68,0.66,0.66,0.45,0.59,0.77,0.53,0.69,0.39,0.35,0.73,0.56,0.69,0.51,0.41,0.8,0.77,0.74
xmoto.csv,0.56,0.5,0.42,0.1,0.34,0.66,0.47,0.66,0.54,0.0,0.42,0.5,0.7,0.4,0.13,0.64,0.42,0.06
zxing.csv,0.53,0.64,0.54,0.0,0.49,0.55,0.36,0.7,0.37,0.6,0.44,0.54,0.49,0.61,0.23,0.75,0.23,0.75
