,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,0.96,0.64,0.0,0.49,0.48,0.05,0.43,0.43,0.27,0.53,0.42,0.0,0.45,0.05
jicarilla.csv,0.0,0.04,0.85,0.0,0.14,0.05,0.0,0.0,0.17,0.05,0.0,0.0,0.06,0.3
jmule.csv,0.72,0.68,0.04,0.73,0.66,0.54,0.54,0.58,0.76,0.79,0.63,0.26,0.75,0.88
micomt.csv,0.38,0.57,0.57,0.56,0.61,0.46,0.44,0.52,0.86,0.59,0.6,0.39,0.63,0.43
migen.csv,0.0,0.16,0.21,0.35,0.72,0.4,0.07,0.17,0.65,0.52,0.51,0.25,0.45,0.05
mvnforum.csv,0.0,0.3,0.14,0.07,0.25,0.09,0.54,0.49,0.5,0.48,0.36,0.11,0.34,0.0
ng4j.csv,0.83,0.5,0.14,0.77,0.59,0.43,0.65,0.51,0.8,0.63,0.69,0.33,0.8,0.77
open-data-kit.csv,0.53,0.68,0.11,0.63,0.61,0.56,0.54,0.48,0.54,0.76,0.67,0.37,0.69,0.62
opennms.csv,0.54,0.58,0.11,0.6,0.45,0.69,0.07,0.12,0.16,0.4,0.0,0.21,0.38,0.67
ossim.csv,0.54,0.55,0.28,0.7,0.36,0.56,0.2,0.27,0.17,0.33,0.24,0.11,0.38,0.13
plplot.csv,0.42,0.13,0.46,0.29,0.55,0.28,0.73,0.51,0.27,0.61,0.69,0.11,0.51,0.34
qedo.csv,0.0,0.0,0.57,0.14,0.37,0.28,0.07,0.27,0.22,0.11,0.24,0.8,0.12,0.41
tradelink.csv,0.48,0.44,0.0,0.07,0.49,0.21,0.7,0.58,0.27,0.55,0.64,0.17,0.5,0.24
wgs-assembler.csv,0.89,0.54,0.04,0.68,0.66,0.39,0.32,0.37,0.26,0.66,0.54,0.06,0.66,0.55
