,jpaul.csv,neodatis-odb.csv,tycho.csv,unicase.csv,jrdf.csv,xcmetadataservicestoolkit.csv,mecat.csv,ambulant.csv,synecdoche.csv,javaprofiler.csv,codesmith.csv
ambulant.csv,0.94,0.67,0.67,0.72,0.34,0.8,0.9,0.59,0.38,0.52,0.74
codesmith.csv,0.75,0.93,0.38,0.77,0.93,0.6,0.62,0.62,0.94,0.56,0.52
javaprofiler.csv,0.51,0.43,0.45,0.45,0.35,0.36,0.44,0.47,0.4,0.52,0.44
jpaul.csv,0.46,0.88,0.75,0.68,0.91,0.72,0.86,0.72,0.75,0.62,0.67
jrdf.csv,0.48,0.94,0.0,0.48,0.57,0.73,0.36,0.78,0.91,0.7,0.68
mecat.csv,0.5,0.89,0.0,0.54,0.92,0.8,0.9,0.0,0.91,0.93,0.0
neodatis-odb.csv,0.47,0.76,0.47,0.44,0.86,0.81,0.8,0.74,0.39,0.62,0.9
synecdoche.csv,0.47,0.45,0.53,0.41,0.67,0.67,0.36,0.74,0.56,0.68,0.41
tycho.csv,0.76,0.54,0.51,0.48,0.74,0.48,0.63,0.79,0.71,0.54,0.94
unicase.csv,0.47,0.43,0.6,0.42,0.36,0.4,0.36,0.45,0.42,0.41,0.48
xcmetadataservicestoolkit.csv,0.52,0.5,0.0,0.49,0.5,0.38,0.35,0.91,0.46,0.55,0.67
